observed_mzi,probe_arm,perturbed_heater,delta_power_w,eta_base,eta_pert,delta_eta_rad,delta_delta_rad,J_delta_rad_per_w,baseline_rmse_uW,perturbed_rmse_uW,baseline_outlier_removed,baseline_excluded_index,baseline_full_rmse_before_outlier_removal_uW,perturbed_outlier_removed,perturbed_excluded_index,perturbed_full_rmse_before_outlier_removal_uW,warning
5,u,5u,0.001,2.5628783075122357,2.81225166165091,0.24937335413867423,0.24937335413867423,249.37335413867422,0.02099382072727947,0.03569329598212635,False,,,False,,,
6,u,5u,0.001,1.312828543220041,1.3186536669703859,0.005825123750344829,0.005825123750344829,5.825123750344829,0.025364068996217924,0.019681065360849185,False,,,False,,,
7,u,5u,0.001,1.8984676237610607,1.9205436887902767,0.022076065029215997,0.022076065029215997,22.076065029215997,0.027451138037606286,0.03740098893558502,False,,,False,,,
8,u,5u,0.001,0.9043753243391794,0.9140050176658505,0.009629693326671074,0.009629693326671074,9.629693326671074,0.05345196692701675,0.023212901914647643,False,,,False,,,
5,u,5d,0.001,2.5628783075122357,2.429600089204973,-0.13327821830726272,-0.13327821830726272,-133.2782183072627,0.02099382072727947,0.030479596862178986,False,,,False,,,
6,u,5d,0.001,1.312828543220041,1.3247326968100577,0.01190415359001662,0.01190415359001662,11.90415359001662,0.025364068996217924,0.018627949064023486,False,,,False,,,
7,u,5d,0.001,1.8984676237610607,1.8934475015343466,-0.005020122226714108,-0.005020122226714108,-5.020122226714108,0.027451138037606286,0.01466244688927968,False,,,False,,,
8,u,5d,0.001,0.9043753243391794,0.8980311012848352,-0.0063442230543442335,-0.0063442230543442335,-6.3442230543442335,0.05345196692701675,0.04662876617461701,False,,,False,,,
5,u,6u,0.001,2.5628783075122357,2.6062169207454122,0.04333861323317656,0.04333861323317656,43.33861323317656,0.02099382072727947,0.03927874565472889,False,,,False,,,
6,u,6u,0.001,1.312828543220041,1.4674154196460476,0.15458687642600655,0.15458687642600655,154.58687642600654,0.025364068996217924,0.01327188204541588,False,,,False,,,
