global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,heater_label,heater_role,heater_port,mzi_id,arm_index,voltage_before,voltage_after,gradient,accepted,line_search_trials,lr_used
7,2,optimized,,0,0.012818455780465763,0.010024559315674784,MZI5_arm0,current_layer,11,5,0,3.971,3.9903015956792145,-0.1930159567921442,True,1,0.1
7,2,optimized,,0,0.010024559315674784,0.008378250187643653,MZI5_arm1,current_layer,7,5,1,4.593,4.578443169521317,0.14556830478683147,True,1,0.1
7,2,optimized,,0,0.008378250187643653,0.006845250518961662,MZI6_arm0,current_layer,12,6,0,2.702,2.689124979787842,0.12875020212157862,True,1,0.1
7,2,optimized,,0,0.006845250518961662,0.005405163777825101,MZI6_arm1,current_layer,8,6,1,3.563,3.576143797009436,-0.13143797009435815,True,1,0.1
7,2,optimized,,0,0.005405163777825101,0.005266957804792773,MZI7_arm0,current_layer,13,7,0,2.91,2.9065954253836646,0.034045746163358016,True,1,0.1
7,2,optimized,,0,0.005266957804792773,0.00518950457833836,MZI7_arm1,current_layer,9,7,1,3.503,3.5064123304284163,-0.034123304284162256,True,1,0.1
7,2,optimized,,0,0.00518950457833836,0.005160525299455386,MZI1_arm0,previous_layer_compensation,65,1,0,4.694,4.693890297955859,0.0010970204414101669,True,1,0.1
7,2,optimized,,0,0.005160525299455386,0.004971566784185736,MZI2_arm0,previous_layer_compensation,67,2,0,4.427,4.4317256188277225,-0.04725618827722916,True,1,0.1
7,2,optimized,,0,0.004971566784185736,0.004962444918816919,MZI3_arm0,previous_layer_compensation,66,3,0,4.294,4.293314329042505,0.006856709574948886,True,1,0.1
7,2,optimized,,0,0.004962444918816919,0.004922264110136172,MZI4_arm0,previous_layer_compensation,68,4,0,4.309,4.309192068314264,-0.0019206831426417184,True,1,0.1
7,2,optimized,,1,0.004959124182963874,0.004684971586182936,MZI5_arm0,current_layer,11,5,0,3.99,3.995561404838068,-0.05561404838067875,True,1,0.1
7,2,optimized,,1,0.004684971586182936,0.004558483878444269,MZI5_arm1,current_layer,7,5,1,4.578,4.573503818841238,0.04496181158762522,True,1,0.1
7,2,optimized,,1,0.004558483878444269,0.0037799955723022746,MZI6_arm1,current_layer,8,6,1,3.576,3.585332049638288,-0.0933204963828778,True,1,0.1
7,2,optimized,,1,0.0037799955723022746,0.0035486067236324267,MZI6_arm0,current_layer,12,6,0,2.689,2.683697012907044,0.053029870929563065,True,1,0.1
7,2,optimized,,1,0.0035486067236324267,0.003433224479181971,MZI7_arm1,current_layer,9,7,1,3.506,3.5089220687678235,-0.02922068767823931,True,1,0.1
7,2,optimized,,1,0.003433224479181971,0.0033726235206806947,MZI7_arm0,current_layer,13,7,0,2.907,2.904604587260437,0.023954127395629993,True,1,0.1
7,2,optimized,,1,0.0033726235206806947,0.003311782186534455,MZI2_arm0,previous_layer_compensation,67,2,0,4.432,4.435986940507993,-0.03986940507992453,True,1,0.1
7,2,optimized,,1,0.003311782186534455,0.003296678173923534,MZI3_arm0,previous_layer_compensation,66,3,0,4.293,4.292510942785277,0.004890572147231665,True,1,0.1
7,2,optimized,,1,0.003296678173923534,0.003274975023844418,MZI4_arm0,previous_layer_compensation,68,4,0,4.309,4.309127648315582,-0.0012764831558133023,True,1,0.1
7,2,optimized,,1,0.003274975023844418,0.003268519465326265,MZI1_arm0,previous_layer_compensation,65,1,0,4.694,4.693953279972729,0.0004672002727068073,True,1,0.1
7,2,optimized,,2,0.003266665729833427,0.0030576794577994275,MZI6_arm1,current_layer,8,6,1,3.585,3.590460931512467,-0.05460931512467139,True,1,0.1
7,2,optimized,,2,0.0030576794577994275,0.0030271245562676677,MZI5_arm0,current_layer,11,5,0,3.996,3.9976955069742015,-0.016955069742015508,True,1,0.1
7,2,optimized,,2,0.0030271245562676677,0.002952567674774945,MZI6_arm0,current_layer,12,6,0,2.684,2.6808203421940413,0.0317965780595875,True,1,0.1
7,2,optimized,,2,0.002952567674774945,0.002916712337722441,MZI5_arm1,current_layer,7,5,1,4.574,4.5727434083871366,0.012565916128632842,True,1,0.1
7,2,optimized,,2,0.002916712337722441,0.0028762218946679786,MZI7_arm1,current_layer,9,7,1,3.509,3.51138641326375,-0.023864132637496857,True,1,0.1
7,2,optimized,,2,0.0028762218946679786,0.0028518212963439798,MZI7_arm0,current_layer,13,7,0,2.905,2.9033758606514906,0.016241393485093656,True,1,0.1
