run_id,stage,perturb_label,scan_kind,observed_mzi,scan_file,valid,try_count,point_count,median_power_uW,min_power_uW,max_power_uW,curve_range_uW,unstable_point_count,near_zero_point_count,neighbor_jump_count,edge_jump_count,route_lower_policy,route_lower_zero_applied,warning,failure_reason
run_20260606_160851,perturb,5d,sigma,6,Scandata\J_remeasure\run_20260606_160851\perturb_5d\sigma\obs6_inter_scan_try1.txt,True,1,9,48.05285,0.5204539,100.51360000000001,99.9931461,0,2,0,0,zero,True,route_lower_port_missing_mzi2; route_lower_port_missing_mzi33,
run_20260606_160851,perturb,5d,sigma,7,Scandata\J_remeasure\run_20260606_160851\perturb_5d\sigma\obs7_inter_scan_try1.txt,True,1,9,3.714416,0.4577524,10.11479,9.657037599999999,0,3,0,0,zero,True,route_lower_port_missing_mzi3; route_lower_port_missing_mzi33,
run_20260606_160851,perturb,5d,sigma,8,Scandata\J_remeasure\run_20260606_160851\perturb_5d\sigma\obs8_inter_scan_try1.txt,True,1,9,1.092477,0.1117387,4.665702,4.5539632999999995,0,3,0,0,zero,True,route_lower_port_missing_mzi4; route_lower_port_missing_mzi33,
run_20260606_160851,perturb,6u,delta,5,Scandata\J_remeasure\run_20260606_160851\perturb_6u\delta\obs5_probe_try1.txt,True,1,9,72.32633,65.10294999999999,78.84699,13.744040000000012,0,0,0,0,,,,
run_20260606_160851,perturb,6u,delta,6,Scandata\J_remeasure\run_20260606_160851\perturb_6u\delta\obs6_probe_try1.txt,False,1,9,51.49542,0.02565697,51.537240000000004,51.511583030000004,0,1,1,1,,,,near_zero_point; neighbor_jump; edge_jump
run_20260606_160851,perturb,6u,delta,6,Scandata\J_remeasure\run_20260606_160851\perturb_6u\delta\obs6_probe_try2.txt,True,2,9,51.51522,51.28147,51.56124,0.2797699999999992,0,0,0,0,,,low_delta_curve_range,
run_20260606_160851,perturb,6u,delta,7,Scandata\J_remeasure\run_20260606_160851\perturb_6u\delta\obs7_probe_try1.txt,True,1,9,71.81438,69.12883,73.45681,4.327980000000011,0,0,0,0,,,,
run_20260606_160851,perturb,6u,delta,8,Scandata\J_remeasure\run_20260606_160851\perturb_6u\delta\obs8_probe_try1.txt,True,1,9,79.43473999999999,74.42441000000001,83.47177,9.047359999999998,0,0,0,0,,,,
run_20260606_160851,perturb,6u,sigma,5,Scandata\J_remeasure\run_20260606_160851\perturb_6u\sigma\obs5_inter_scan_try1.txt,True,1,9,95.23482999999999,19.66983,145.07739999999998,125.40756999999998,0,0,0,0,zero,True,route_lower_port_missing_mzi1; route_lower_port_missing_mzi33,
run_20260606_160851,perturb,6u,sigma,6,Scandata\J_remeasure\run_20260606_160851\perturb_6u\sigma\obs6_inter_scan_try1.txt,True,1,9,53.0505,0.357087,105.1803,104.823213,0,2,0,0,zero,True,route_lower_port_missing_mzi2; route_lower_port_missing_mzi33,
run_20260606_160851,perturb,6u,sigma,7,Scandata\J_remeasure\run_20260606_160851\perturb_6u\sigma\obs7_inter_scan_try1.txt,True,1,9,4.25087,0.36567099999999997,10.5305,10.164829,0,3,0,0,zero,True,route_lower_port_missing_mzi3; route_lower_port_missing_mzi33,
run_20260606_160851,perturb,6u,sigma,8,Scandata\J_remeasure\run_20260606_160851\perturb_6u\sigma\obs8_inter_scan_try1.txt,True,1,9,2.065703,0.1297338,4.817969,4.688235199999999,0,3,0,0,zero,True,route_lower_port_missing_mzi4; route_lower_port_missing_mzi33,
