iter,5u,5d,6u,6d,7u,7d,8u,8d
0,0.0312460942360806,0.0378864429618386,0.0341630895985996,0.0344552351058808,0.0319011354891148,0.0369051185186029,0.0311204264845646,0.0376250829905009
1,0.03323836055433154,0.03791817030677903,0.03601891707280445,0.03510699368659169,0.03311792466134545,0.03770868528682376,0.0291204264845646,0.0379277357215813
2,0.035230626876657276,0.03794989765264718,0.03787474455070189,0.03575875226977393,0.0343347138340679,0.03851225205627301,0.0271204264845646,0.03823038845371098
3,0.03721545197784958,0.037981506496302234,0.03972364041370421,0.036408076501308985,0.03554695823164532,0.03931281746037664,0.025127896596699756,0.038531910762277306
4,0.038604829554330346,0.03800363268806498,0.0410178675229321,0.03686260346670066,0.036395529310819075,0.03987321324499038,0.023733125674809015,0.038742976379687113
5,0.03957739386181918,0.03801912102314185,0.04192382650298002,0.037180772344796824,0.03698952906684941,0.040265490295438834,0.02275678602921575,0.03889072231286335
6,0.04025818887982798,0.03802996285828572,0.04255799779152544,0.03740349056108954,0.03740532889649673,0.04054008423160593,0.02207334827711164,0.038994144466779276
7,0.04073474539437077,0.03803755214329947,0.04300191769526555,0.03755939331363222,0.03769638877754812,0.040732299987520135,0.021594941850506588,0.03906653997500521
8,0.04106833495590636,0.03804286464309823,0.043312661629114436,0.03766852524120854,0.03790013069449288,0.04086685101707814,0.02126005735179053,0.039117216831102725
9,0.041301847649930216,0.03804658339315975,0.04353018238367023,0.037744917591069474,0.03804275003650036,0.04096103673806138,0.02102563820262452,0.03915269063060853
10,0.04146530653641118,0.03804918651834449,0.04368244691246238,0.03779839223636239,0.038142583576007895,0.0410269667429545,0.02086154479816298,0.039177522290428875
11,0.04157972775741284,0.03805100870607298,0.04378903208303907,0.03783582448834061,0.03821246705373479,0.041073117746523086,0.020746679415008164,0.039194904452419514
12,0.04165982261243949,0.038052284237552345,0.043863641702738265,0.037862027064916585,0.03826138548819374,0.041105423449121464,0.02066627364677758,0.039207071965894444
13,0.04171588901118599,0.038053177109636495,0.04391586843673457,0.03788036886865363,0.038295628392350095,0.041128037441010595,0.02060998960900062,0.03921558922538393
