layer,iter_start,iter_end,loss_start,loss_end,loss_min,points
2,0,10,0.0083991015684446,0.0071330891258429,0.0071330891258429,11
3,0,14,0.0492649250345895,0.0236024156893192,0.0236024156893192,15
4,0,6,0.0312563452732571,0.0290521908968933,0.0290521908968933,7
5,0,14,0.0562868332722182,0.0407407604692546,0.0407407604692546,15
