target,observed_mzi,dp,pow(uW),opm_raw_uW,opm_mean_uW,opm_std_uW,opm_median_uW,opm_relative_std,opm_read_count,v_primary,v_secondary,p_primary,p_secondary,p_primary_unfolded,p_secondary_unfolded,upper_fold_count,lower_fold_count,scan_type,output_channel,input_channel,path,state,bmzi,point_index,warning,opm_all_raw_uW,opm_all_mean_uW,opm_all_std_uW,opm_all_median_uW,opm_all_relative_std,opm_channel_count,opm_ch1_median_uW,opm_ch2_median_uW,opm_ch3_median_uW,opm_ch4_median_uW,opm_ch5_median_uW,opm_ch6_median_uW,opm_ch7_median_uW,opm_ch8_median_uW,opm_ch1_mean_uW,opm_ch2_mean_uW,opm_ch3_mean_uW,opm_ch4_mean_uW,opm_ch5_mean_uW,opm_ch6_mean_uW,opm_ch7_mean_uW,opm_ch8_mean_uW
8,8,0.000000000000,3.994044000000,"[3.980372, 3.9940439999999997, 4.001279]",3.991898333333,0.008669047481,3.994044000000,0.002171660387,3,4.000000000000,4.396000000000,0.031120426485,0.037625082991,0.031120426485,0.037625082991,0,0,sigma_current_sync,1,7,"[4, 8, 12, 15, 19, 22, 26, 29, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,1,,"[[3.980372, 0.3148069, 13.30216, 1.9960449999999998, 111.4583, 5.8378890000000006, 2.14752, 3.267663], [3.9940439999999997, 0.3147351, 13.304499999999999, 1.994832, 111.4363, 5.847220999999999, 2.142662, 3.262407], [4.001279, 0.3150317, 13.33752, 1.994181, 111.4421, 5.840890000000001, 2.144084, 3.2620970000000002]]","[3.9918983333333333, 0.3148579, 13.314726666666665, 1.9950193333333333, 111.44556666666666, 5.842, 2.144755333333333, 3.264055666666667]","[0.008669047480676479, 0.0001263424974688661, 0.016145606901637882, 0.00077241799277041, 0.009309970760184859, 0.0038897841413968273, 0.0020392902904905487, 0.002553907507243688]","[3.9940439999999997, 0.3148069, 13.304499999999999, 1.994832, 111.4421, 5.840890000000001, 2.144084, 3.262407]","[0.002171660387311921, 0.00040126831014519916, 0.0012126127186717478, 0.00038717318667776156, 8.353827827024247e-05, 0.0006658309040391693, 0.0009508265389512413, 0.0007824338087505107]",8,3.994044000000,0.314806900000,13.304500000000,1.994832000000,111.442100000000,5.840890000000,2.144084000000,3.262407000000,3.991898333333,0.314857900000,13.314726666667,1.995019333333,111.445566666667,5.842000000000,2.144755333333,3.264055666667
8,8,0.785398163000,3.930105000000,"[3.904056, 3.930105, 3.935291]",3.923150666667,0.013666952119,3.930105000000,0.003483667409,3,4.269152486795,4.643479761275,0.035449400259,0.041980655261,0.035449400259,0.041980655261,0,0,sigma_current_sync,1,7,"[4, 8, 12, 15, 19, 22, 26, 29, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,2,,"[[3.904056, 0.1709869, 13.124270000000001, 1.956762, 107.5693, 5.196731000000001, 0.672791, 7.215199], [3.930105, 0.17105610000000002, 13.13698, 1.957899, 107.6917, 5.204331, 0.6704088, 7.22455], [3.935291, 0.1711444, 13.1525, 1.956731, 107.7009, 5.208853, 0.6708911999999999, 7.214209]]","[3.9231506666666665, 0.17106246666666666, 13.137916666666667, 1.9571306666666668, 107.65396666666668, 5.203305, 0.6713636666666667, 7.217986]","[0.013666952118970037, 6.445651419540469e-05, 0.01154386513357689, 0.0005434410936083859, 0.059986072457605094, 0.0050016815838940755, 0.0010283118117683273, 0.004659012556325438]","[3.930105, 0.17105610000000002, 13.13698, 1.956762, 107.6917, 5.204331, 0.6708911999999999, 7.215199]","[0.0034836674092311275, 0.000376801033279878, 0.0008786678608539068, 0.00027767236131145007, 0.0005572119106706248, 0.0009612508941709308, 0.0015316762923348458, 0.0006454726507263158]",8,3.930105000000,0.171056100000,13.136980000000,1.956762000000,107.691700000000,5.204331000000,0.670891200000,7.215199000000,3.923150666667,0.171062466667,13.137916666667,1.957130666667,107.653966666667,5.203305000000,0.671363666667,7.217986000000
8,8,1.570796327000,2.722084000000,"[2.7020180000000003, 2.722224, 2.722084]",2.715442000000,0.009492373500,2.722084000000,0.003495701068,3,4.522314221043,4.878421116467,0.039778374038,0.046336227536,0.039778374038,0.046336227536,0,0,sigma_current_sync,1,7,"[4, 8, 12, 15, 19, 22, 26, 29, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,3,,"[[2.7020180000000003, 0.07290258999999999, 9.059492, 1.369471, 73.13225, 3.184876, 6.570625000000001, 33.08014], [2.722224, 0.07269399, 9.07951, 1.367129, 73.16866999999999, 3.1836260000000003, 6.569211, 33.05063], [2.722084, 0.07275953, 9.089762, 1.367542, 73.07838, 3.185442, 6.569298000000001, 33.0741]]","[2.715442, 0.07278537, 9.076254666666667, 1.3680473333333334, 73.12643333333334, 3.1846480000000006, 6.569711333333334, 33.06829]","[0.00949237350016665, 8.709867660685659e-05, 0.012570232597512046, 0.0010207064002717037, 0.03708949746521409, 0.0007587059157977697, 0.0006470354618481171, 0.012728631767267616]","[2.722084, 0.07275953, 9.07951, 1.367542, 73.13225, 3.184876, 6.569298000000001, 33.0741]","[0.0034957010682484285, 0.0011966508737519172, 0.0013849581197492526, 0.000746104594045506, 0.0005071968613066149, 0.00023823854812141546, 9.848765478708253e-05, 0.00038491956394683905]",8,2.722084000000,0.072759530000,9.079510000000,1.367542000000,73.132250000000,3.184876000000,6.569298000000,33.074100000000,2.715442000000,0.072785370000,9.076254666667,1.368047333333,73.126433333333,3.184648000000,6.569711333333,33.068290000000
8,8,2.356194490000,1.164437000000,"[1.164437, 1.164599, 1.1623549999999998]",1.163797000000,0.001021790585,1.164437000000,0.000877980082,3,4.762036210421,5.102556308652,0.044107347813,0.050691799806,0.044107347813,0.050691799806,0,0,sigma_current_sync,1,7,"[4, 8, 12, 15, 19, 22, 26, 29, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,4,,"[[1.164437, 0.08230771, 3.853177, 0.6018526999999999, 30.18216, 1.080927, 16.26411, 64.38405], [1.164599, 0.08228524, 3.8572430000000004, 0.6026563, 30.089010000000002, 1.081305, 16.256520000000002, 64.27747], [1.1623549999999998, 0.08232974000000001, 3.8514540000000004, 0.6010157, 30.17178, 1.0799640000000001, 16.24256, 64.31038]]","[1.163797, 0.08230756333333335, 3.8539580000000004, 0.6018415666666667, 30.14765, 1.080732, 16.254396666666665, 64.32396666666666]","[0.0010217905851984208, 1.8167344941473172e-05, 0.0024270147644105755, 0.0006698184098860055, 0.04168071736426682, 0.0005645582343743703, 0.008924947556645666, 0.04455911603951022]","[1.164437, 0.08230771, 3.853177, 0.6018526999999999, 30.17178, 1.080927, 16.256520000000002, 64.31038]","[0.0008779800817482953, 0.0002207250974967894, 0.0006297460336647611, 0.0011129480696985296, 0.0013825527815357688, 0.0005223850449272996, 0.0005490789808857256, 0.0006927296052872499]",8,1.164437000000,0.082307710000,3.853177000000,0.601852700000,30.171780000000,1.080927000000,16.256520000000,64.310380000000,1.163797000000,0.082307563333,3.853958000000,0.601841566667,30.147650000000,1.080732000000,16.254396666667,64.323966666667
8,8,3.141592654000,0.198059900000,"[0.19805589999999998, 0.1987973, 0.19805989999999998]",0.198304366667,0.000348560328,0.198059900000,0.001757703745,3,4.990255687608,3.221251747869,0.048436321592,0.020202793903,0.048436321592,0.055047372082,0,1,sigma_current_sync,1,7,"[4, 8, 12, 15, 19, 22, 26, 29, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,5,"period fold applied: upper 0.048436322->0.048436322 W (0), lower 0.055047372->0.020202794 W (1)","[[0.19805589999999998, 0.1694775, 0.5559445, 0.08650092000000001, 4.6927330000000005, 0.1049335, 24.08701, 83.56924000000001], [0.1987973, 0.1691285, 0.5564174, 0.08613855, 4.698671999999999, 0.10492660000000001, 24.07198, 83.53114000000001], [0.19805989999999998, 0.1690555, 0.5566867999999999, 0.08666699, 4.685006, 0.1048907, 24.09579, 83.5008]]","[0.19830436666666665, 0.1692205, 0.5563495666666666, 0.08643548666666667, 4.692137, 0.10491693333333334, 24.08492666666667, 83.53372666666668]","[0.0003485603279523241, 0.00018415392112759444, 0.0003068151922936936, 0.00022064050585108718, 0.005595015698518269, 1.8762432914973344e-05, 0.009831386247908379, 0.028000315871237948]","[0.19805989999999998, 0.1691285, 0.5564174, 0.08650092000000001, 4.6927330000000005, 0.10492660000000001, 24.08701, 83.53114000000001]","[0.001757703745062888, 0.0010882482980938742, 0.0005514791610820469, 0.0025526611159369553, 0.0011924237716243729, 0.00017883131272397094, 0.0004081966444811697, 0.0003351977337605267]",8,0.198059900000,0.169128500000,0.556417400000,0.086500920000,4.692733000000,0.104926600000,24.087010000000,83.531140000000,0.198304366667,0.169220500000,0.556349566667,0.086435486667,4.692137000000,0.104916933333,24.084926666667,83.533726666667
8,8,3.926990817000,0.142296400000,"[0.142729, 0.1422134, 0.1422964]",0.142412933333,0.000226046976,0.142296400000,0.001587264381,3,5.208484883650,3.551556154212,0.052765295366,0.024558366174,0.052765295366,0.059402944352,0,1,sigma_current_sync,1,7,"[4, 8, 12, 15, 19, 22, 26, 29, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,6,"period fold applied: upper 0.052765295->0.052765295 W (0), lower 0.059402944->0.024558366 W (1)","[[0.142729, 0.29960800000000004, 0.5107328, 0.142163, 7.802921, 0.6538203, 25.62969, 80.53089], [0.1422134, 0.29948030000000003, 0.5093667, 0.1422617, 7.8073950000000005, 0.653489, 25.610609999999998, 80.43353], [0.1422964, 0.2992766, 0.5103186000000001, 0.1423086, 7.804314000000001, 0.6526123, 25.6845, 80.42317]]","[0.14241293333333332, 0.29945496666666666, 0.5101393666666666, 0.14224443333333334, 7.804876666666668, 0.6533072, 25.6416, 80.46253]","[0.00022604697643533437, 0.00013647423037174396, 0.0005719270019465631, 6.068192115906628e-05, 0.0018693339871611039, 0.0005096432935560483, 0.031318994236725496, 0.048522500622562505]","[0.1422964, 0.29948030000000003, 0.5103186000000001, 0.1422617, 7.804314000000001, 0.653489, 25.62969, 80.43353]","[0.0015872643807304091, 0.000455742083328536, 0.0011211191280602925, 0.0004266031347382518, 0.00023950845951797278, 0.0007800974695457946, 0.0012214134155717855, 0.0006030446795864175]",8,0.142296400000,0.299480300000,0.510318600000,0.142261700000,7.804314000000,0.653489000000,25.629690000000,80.433530000000,0.142412933333,0.299454966667,0.510139366667,0.142244433333,7.804876666667,0.653307200000,25.641600000000,80.462530000000
8,8,4.712388980000,1.348864000000,"[1.348864, 1.348566, 1.3490060000000001]",1.348812000000,0.000183353938,1.348864000000,0.000135937357,3,3.398334016197,3.853652736028,0.022462478930,0.028913938444,0.057094269140,0.063758516622,1,1,sigma_current_sync,1,7,"[4, 8, 12, 15, 19, 22, 26, 29, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,7,"period fold applied: upper 0.057094269->0.022462479 W (1), lower 0.063758517->0.028913938 W (1)","[[1.348864, 0.43529080000000003, 4.451942000000001, 0.7033327, 40.27339, 2.622318, 21.29005, 56.88053], [1.348566, 0.4370547, 4.444777, 0.7080612000000001, 40.207080000000005, 2.621018, 21.23142, 56.85987], [1.3490060000000001, 0.4354619, 4.452192, 0.7095898, 40.21848, 2.623896, 21.2188, 56.79698]]","[1.348812, 0.4359358, 4.449637, 0.7069945666666667, 40.23298333333333, 2.6224106666666667, 21.246756666666666, 56.845793333333326]","[0.0001833539382361323, 0.0007942592817629907, 0.0034380541977501455, 0.0026634695547141014, 0.028948391242959483, 0.0011767643018982833, 0.031043524642382588, 0.03553181704082001]","[1.348864, 0.4354619, 4.451942000000001, 0.7080612000000001, 40.21848, 2.622318, 21.23142, 56.85987]","[0.0001359373569008374, 0.0018219638803764011, 0.0007726594771101879, 0.003767312622035852, 0.000719518883377846, 0.0004487337993457991, 0.0014610947510443205, 0.0006250562259280636]",8,1.348864000000,0.435461900000,4.451942000000,0.708061200000,40.218480000000,2.622318000000,21.231420000000,56.859870000000,1.348812000000,0.435935800000,4.449637000000,0.706994566667,40.232983333333,2.622410666667,21.246756666667,56.845793333333
8,8,5.497787144000,3.067884000000,"[3.066678, 3.067884, 3.068067]",3.067543000000,0.000616193152,3.067884000000,0.000200875147,3,3.711379399089,4.133730483004,0.026791452709,0.033269510719,0.061423242920,0.068114088898,1,1,sigma_current_sync,1,7,"[4, 8, 12, 15, 19, 22, 26, 29, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,8,"period fold applied: upper 0.061423243->0.026791453 W (1), lower 0.068114089->0.033269511 W (1)","[[3.066678, 0.4341832, 10.03538, 1.488522, 85.00124, 4.860187, 10.11918, 22.57185], [3.067884, 0.4345511, 10.03153, 1.48882, 85.06918999999999, 4.866083, 10.14982, 22.573819999999998], [3.068067, 0.4350933, 10.05079, 1.485424, 85.12281, 4.867616999999999, 10.14606, 22.5948]]","[3.067543, 0.4346092, 10.039233333333334, 1.4875886666666667, 85.06441333333333, 4.864629, 10.138353333333333, 22.580156666666664]","[0.0006161931515360977, 0.00037381119120041524, 0.008321579711141551, 0.0015354776310827223, 0.0497455434073153, 0.003202791698919138, 0.013644215705646971, 0.010385587235309222]","[3.067884, 0.4345511, 10.03538, 1.488522, 85.06918999999999, 4.866083, 10.14606, 22.573819999999998]","[0.0002008751471572192, 0.0008601087855489834, 0.0008289058969783434, 0.0010321923428761818, 0.0005847985245296698, 0.0006583835476290459, 0.0013458019519586978, 0.0004599430990946427]",8,3.067884000000,0.434551100000,10.035380000000,1.488522000000,85.069190000000,4.866083000000,10.146060000000,22.573820000000,3.067543000000,0.434609200000,10.039233333333,1.487588666667,85.064413333333,4.864629000000,10.138353333333,22.580156666667
8,8,6.283185307000,4.061680000000,"[4.060840000000001, 4.06168, 4.073651]",4.065390333333,0.005851231228,4.061680000000,0.001439279073,3,3.999999999936,4.395999999942,0.031120426484,0.037625082990,0.065752216694,0.072469661168,1,1,sigma_current_sync,1,7,"[4, 8, 12, 15, 19, 22, 26, 29, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,9,"period fold applied: upper 0.065752217->0.031120426 W (1), lower 0.072469661->0.037625083 W (1)","[[4.060840000000001, 0.31580179999999997, 13.42835, 1.97648, 111.2727, 5.858013000000001, 2.137894, 3.2426690000000002], [4.06168, 0.31589239999999996, 13.41526, 1.977576, 111.1604, 5.858613, 2.1337960000000002, 3.2479459999999998], [4.073651, 0.31633500000000003, 13.41212, 1.9812390000000002, 111.3746, 5.853605, 2.138674, 3.243554]]","[4.065390333333334, 0.3160097333333333, 13.418576666666667, 1.9784316666666666, 111.26923333333333, 5.856743666666667, 2.136788, 3.244723]","[0.005851231228458371, 0.00023295334773777566, 0.007028676183243172, 0.0020348864560189184, 0.08748113447417832, 0.002232848902685292, 0.002139493397979904, 0.00230746657613911]","[4.06168, 0.31589239999999996, 13.41526, 1.977576, 111.2727, 5.858013000000001, 2.137894, 3.243554]","[0.0014392790725363813, 0.0007371714322863969, 0.0005238019171365049, 0.001028535122189673, 0.0007862113528913054, 0.0003812440888259167, 0.0010012661050042887, 0.0007111443954196121]",8,4.061680000000,0.315892400000,13.415260000000,1.977576000000,111.272700000000,5.858013000000,2.137894000000,3.243554000000,4.065390333333,0.316009733333,13.418576666667,1.978431666667,111.269233333333,5.856743666667,2.136788000000,3.244723000000
