mzi,port,voltage,expected_mA,actual_mA,lower_mA,upper_mA,input_channel
2,45,3.005,5.899937644657287,7.929225467990778,5.309943880191558,6.489931409123016,2
1,43,4.318,8.477847171257958,,7.630062454132162,9.325631888383754,5
2,45,4.261,8.36593487650073,,7.529341388850658,9.202528364150805,5
3,41,4.164,8.093643218673503,,7.2842788968061525,8.903007540540854,5
4,48,4.23,8.304996428072716,,7.474496785265444,9.135496070879988,5
5,44,2.604,5.034165051253088,,4.5307485461277786,5.537581556378397,5
6,46,4.329,8.428640695949365,,7.585776626354429,9.271504765544302,5
7,42,3.995,7.8306379376366815,,7.047574143873013,8.613701731400349,5
8,49,4.294,8.343622807807465,,7.5092605270267185,9.177985088588212,5
