local_sample_row,sample_index,input_channel,target_ratio,final_ratio,ratio_error,initial_coefficient,optimized_coefficient,initial_voltage,final_voltage,final_output_power,converged,final_loss_mae
4,4,8,0.0,0.00014816668788672407,0.00014816668788672407,0.0,0.0,4.294,4.294,7.00699e-07,True,6.570202827349547e-05
5,5,1,0.0,2.7400873014657868e-05,2.7400873014657868e-05,0.0,0.0,4.318,4.318,2.393769e-07,True,0.0017820373278210067
5,5,2,0.0,0.0001014722774889179,0.0001014722774889179,0.0,0.0,4.261,4.261,1.118524e-06,True,0.0017820373278210067
5,5,3,0.0,-0.0004441301962013894,-0.0004441301962013894,0.0,0.0,4.164,4.164,7.151153e-06,True,0.0017820373278210067
5,5,4,0.968627450980392,0.970409488308213,0.0017820373278210067,0.968627450980392,0.968627450980392,3.471,3.471,0.0002585837,True,0.0017820373278210067
5,5,5,0.0,7.125813083149607e-05,7.125813083149607e-05,0.0,0.0,3.977,3.977,3.499283e-06,True,0.0017820373278210067
5,5,6,0.0,6.213884789321909e-05,6.213884789321909e-05,0.0,0.0,4.329,4.329,7.142484e-07,True,0.0017820373278210067
5,5,7,0.0,0.00013036464448770626,0.00013036464448770626,0.0,0.0,3.995,3.995,7.209276e-07,True,0.0017820373278210067
5,5,8,0.0,0.0001427011083412731,0.0001427011083412731,0.0,0.0,4.294,4.294,9.32571e-07,True,0.0017820373278210067
6,6,1,0.0,8.19669122707907e-05,8.19669122707907e-05,0.0,0.0,4.318,4.318,3.624178e-07,True,0.0029563160938562705
6,6,2,0.0,0.0001711825485569275,0.0001711825485569275,0.0,0.0,4.261,4.261,6.799372e-07,True,0.0029563160938562705
6,6,3,0.0,0.0003780293296831973,0.0003780293296831973,0.0,0.0,4.164,4.164,1.617887e-06,True,0.0029563160938562705
6,6,4,0.0,-5.163258955867729e-05,-5.163258955867729e-05,0.0,0.0,4.23,4.23,2.627686e-06,True,0.0029563160938562705
6,6,5,0.9372549019607842,0.9342985858669279,-0.0029563160938562705,0.9372549019607842,0.9372549019607842,3.357,3.357,0.0001728703,True,0.0029563160938562705
6,6,6,0.0,0.00032081876041910925,0.00032081876041910925,0.0,0.0,4.329,4.329,1.03551e-06,True,0.0029563160938562705
6,6,7,0.0,0.00032169035525833487,0.00032169035525833487,0.0,0.0,3.995,3.995,9.799737e-07,True,0.0029563160938562705
6,6,8,0.0,0.00033275007262198453,0.00033275007262198453,0.0,0.0,4.294,4.294,7.027497e-07,True,0.0029563160938562705
7,7,1,0.0,5.393312015046416e-05,5.393312015046416e-05,0.0,0.0,4.318,4.318,2.38073e-07,True,0.0003030282700864362
7,7,2,0.0,0.0002036896748610814,0.0002036896748610814,0.0,0.0,4.261,4.261,1.104836e-06,True,0.0003030282700864362
7,7,3,0.0,-0.0009743150383117391,-0.0009743150383117391,0.0,0.0,4.164,4.164,6.779279e-06,True,0.0003030282700864362
7,7,4,0.9372549019607842,0.9375579302308706,0.0003030282700864362,0.9372549019607842,0.9372549019607842,3.491,3.491,0.0002498211,True,0.0003030282700864362
7,7,5,0.0,0.0002678333505642845,0.0002678333505642845,0.0,0.0,3.977,3.977,3.417362e-06,True,0.0003030282700864362
7,7,6,0.0,0.0001284547358238291,0.0001284547358238291,0.0,0.0,4.329,4.329,7.031792e-07,True,0.0003030282700864362
7,7,7,0.0,0.00028988861411395356,0.00028988861411395356,0.0,0.0,3.995,3.995,7.209884e-07,True,0.0003030282700864362
7,7,8,0.0,0.0003347608948961035,0.0003347608948961035,0.0,0.0,4.294,4.294,9.283773e-07,True,0.0003030282700864362
8,8,1,0.0,4.3766133033888634e-05,4.3766133033888634e-05,0.0,0.0,4.318,4.318,3.629778e-07,True,0.0020846117113587637
8,8,2,0.0,0.00012569631868031587,0.00012569631868031587,0.0,0.0,4.261,4.261,6.855871e-07,True,0.0020846117113587637
8,8,3,0.0,0.00022950233176305938,0.00022950233176305938,0.0,0.0,4.164,4.164,1.621482e-06,True,0.0020846117113587637
8,8,4,0.0,-2.2405933633201647e-05,-2.2405933633201647e-05,0.0,0.0,4.23,4.23,2.70158e-06,True,0.0020846117113587637
8,8,5,0.9607843137254904,0.9586997020141317,-0.0020846117113587637,0.9607843137254904,0.9607843137254904,3.346,3.346,0.0001773849,True,0.0020846117113587637
8,8,6,0.0,0.00014485644954365193,0.00014485644954365193,0.0,0.0,4.329,4.329,1.027478e-06,True,0.0020846117113587637
8,8,7,0.0,0.00019591271069243664,0.00019591271069243664,0.0,0.0,3.995,3.995,9.848073e-07,True,0.0020846117113587637
