input_channel,expected_output_channel,argmax_output_channel,diagonal_normalized_power,raw_total_power,identity_route_ok
1,1,1,0.9338148623337397,0.0002154219301,True
2,2,2,0.9278888374677197,0.00024230941350000002,True
3,3,3,0.919057558325748,0.00026149134819999996,True
4,4,4,0.9472922940471707,0.0002813030378,True
5,5,5,0.9573388430809716,0.00019327138069999997,True
6,6,6,0.960238508833687,0.0001967650727,True
7,7,7,0.9645321544756731,0.00015459080271,True
8,8,8,0.9732743465867597,0.0001411384164,True
