sample_index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,expected_input_power_0,expected_input_power_1,expected_input_power_2,expected_input_power_3,expected_input_power_4,expected_input_power_5,expected_input_power_6,expected_input_power_7,feature_sum,expected_input_power_sum,feature_min,feature_max,feature_valid,finite_ok,nonnegative_ok,sum_ok,upper_bound_ok,nonzero_ok,feature_validation_mode
855,0.0,0.7725490196078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.70588235294116,0.0,0.0,0.0,0.0,0.0,0.0,0.7725490196078431,92.70588235294116,0.0,0.7725490196078431,True,True,True,True,True,True,bounded
856,0.0,0.0,0.0,0.0,0.0431372549019607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.176470588235284,0.0,0.0,0.0,0.0431372549019607,5.176470588235284,0.0,0.0431372549019607,True,True,True,True,True,True,bounded
857,0.0,0.0,0.0,0.0431372549019607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.176470588235284,0.0,0.0,0.0,0.0,0.0431372549019607,5.176470588235284,0.0,0.0431372549019607,True,True,True,True,True,True,bounded
858,0.0,0.0,0.3686274509803922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.23529411764706,0.0,0.0,0.0,0.0,0.0,0.3686274509803922,44.23529411764706,0.0,0.3686274509803922,True,True,True,True,True,True,bounded
859,0.0,0.3686274509803922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.23529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.3686274509803922,44.23529411764706,0.0,0.3686274509803922,True,True,True,True,True,True,bounded
860,0.0,0.0,0.7176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.11764705882354,0.0,0.0,0.0,0.0,0.0,0.7176470588235294,86.11764705882354,0.0,0.7176470588235294,True,True,True,True,True,True,bounded
861,0.0,0.7176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.11764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.7176470588235294,86.11764705882354,0.0,0.7176470588235294,True,True,True,True,True,True,bounded
862,0.0,0.0,0.0431372549019607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.176470588235284,0.0,0.0,0.0,0.0,0.0,0.0431372549019607,5.176470588235284,0.0,0.0431372549019607,True,True,True,True,True,True,bounded
863,0.0,0.0431372549019607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.176470588235284,0.0,0.0,0.0,0.0,0.0,0.0,0.0431372549019607,5.176470588235284,0.0,0.0431372549019607,True,True,True,True,True,True,bounded
864,0.0,0.0,0.0,0.0,0.6235294117647057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.82352941176468,0.0,0.0,0.0,0.6235294117647057,74.82352941176468,0.0,0.6235294117647057,True,True,True,True,True,True,bounded
865,0.0,0.0,0.0,0.6235294117647057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.82352941176468,0.0,0.0,0.0,0.0,0.6235294117647057,74.82352941176468,0.0,0.6235294117647057,True,True,True,True,True,True,bounded
866,0.0,0.0,0.0,0.0,0.8274509803921568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29411764705881,0.0,0.0,0.0,0.8274509803921568,99.29411764705881,0.0,0.8274509803921568,True,True,True,True,True,True,bounded
867,0.0,0.0,0.0,0.8274509803921568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29411764705881,0.0,0.0,0.0,0.0,0.8274509803921568,99.29411764705881,0.0,0.8274509803921568,True,True,True,True,True,True,bounded
868,0.0,0.0,0.0,0.0,0.1607843137254902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.294117647058826,0.0,0.0,0.0,0.1607843137254902,19.294117647058826,0.0,0.1607843137254902,True,True,True,True,True,True,bounded
869,0.0,0.0,0.0,0.1607843137254902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.294117647058826,0.0,0.0,0.0,0.0,0.1607843137254902,19.294117647058826,0.0,0.1607843137254902,True,True,True,True,True,True,bounded
870,0.0,0.0,0.0,0.0,0.1490196078431372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.882352941176464,0.0,0.0,0.0,0.1490196078431372,17.882352941176464,0.0,0.1490196078431372,True,True,True,True,True,True,bounded
871,0.0,0.0,0.0,0.1490196078431372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.882352941176464,0.0,0.0,0.0,0.0,0.1490196078431372,17.882352941176464,0.0,0.1490196078431372,True,True,True,True,True,True,bounded
872,0.0,0.0,0.6235294117647057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.82352941176468,0.0,0.0,0.0,0.0,0.0,0.6235294117647057,74.82352941176468,0.0,0.6235294117647057,True,True,True,True,True,True,bounded
873,0.0,0.6235294117647057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.82352941176468,0.0,0.0,0.0,0.0,0.0,0.0,0.6235294117647057,74.82352941176468,0.0,0.6235294117647057,True,True,True,True,True,True,bounded
874,0.0,0.0,0.8274509803921568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29411764705881,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,99.29411764705881,0.0,0.8274509803921568,True,True,True,True,True,True,bounded
875,0.0,0.8274509803921568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29411764705881,0.0,0.0,0.0,0.0,0.0,0.0,0.8274509803921568,99.29411764705881,0.0,0.8274509803921568,True,True,True,True,True,True,bounded
876,0.0,0.0,0.0,0.0,0.8705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.4705882352941,0.0,0.0,0.0,0.8705882352941176,104.4705882352941,0.0,0.8705882352941176,True,True,True,True,True,True,bounded
877,0.0,0.0,0.0,0.8705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.4705882352941,0.0,0.0,0.0,0.0,0.8705882352941176,104.4705882352941,0.0,0.8705882352941176,True,True,True,True,True,True,bounded
878,0.0,0.0,0.0,0.0,0.8352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.23529411764706,0.0,0.0,0.0,0.8352941176470589,100.23529411764706,0.0,0.8352941176470589,True,True,True,True,True,True,bounded
879,0.0,0.0,0.0,0.8352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.23529411764706,0.0,0.0,0.0,0.0,0.8352941176470589,100.23529411764706,0.0,0.8352941176470589,True,True,True,True,True,True,bounded
880,0.0,0.0,0.0,0.0,0.0313725490196078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7647058823529362,0.0,0.0,0.0,0.0313725490196078,3.7647058823529362,0.0,0.0313725490196078,True,True,True,True,True,True,bounded
881,0.0,0.0,0.0,0.0313725490196078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7647058823529362,0.0,0.0,0.0,0.0,0.0313725490196078,3.7647058823529362,0.0,0.0313725490196078,True,True,True,True,True,True,bounded
882,0.0,0.0,0.1607843137254902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.294117647058826,0.0,0.0,0.0,0.0,0.0,0.1607843137254902,19.294117647058826,0.0,0.1607843137254902,True,True,True,True,True,True,bounded
883,0.0,0.1607843137254902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.1607843137254902,19.294117647058826,0.0,0.1607843137254902,True,True,True,True,True,True,bounded
884,0.0,0.0,0.0,0.0,0.9254901960784314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.05882352941177,0.0,0.0,0.0,0.9254901960784314,111.05882352941177,0.0,0.9254901960784314,True,True,True,True,True,True,bounded
885,0.0,0.0,0.0,0.9254901960784314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.05882352941177,0.0,0.0,0.0,0.0,0.9254901960784314,111.05882352941177,0.0,0.9254901960784314,True,True,True,True,True,True,bounded
886,0.0,0.0,0.1490196078431372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.882352941176464,0.0,0.0,0.0,0.0,0.0,0.1490196078431372,17.882352941176464,0.0,0.1490196078431372,True,True,True,True,True,True,bounded
887,0.0,0.1490196078431372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.882352941176464,0.0,0.0,0.0,0.0,0.0,0.0,0.1490196078431372,17.882352941176464,0.0,0.1490196078431372,True,True,True,True,True,True,bounded
888,0.0,0.0,0.8705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.4705882352941,0.0,0.0,0.0,0.0,0.0,0.8705882352941176,104.4705882352941,0.0,0.8705882352941176,True,True,True,True,True,True,bounded
889,0.0,0.8705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.4705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.8705882352941176,104.4705882352941,0.0,0.8705882352941176,True,True,True,True,True,True,bounded
890,0.0,0.0,0.0,0.0,0.5450980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.41176470588236,0.0,0.0,0.0,0.5450980392156863,65.41176470588236,0.0,0.5450980392156863,True,True,True,True,True,True,bounded
