global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,heater_label,heater_role,heater_port,mzi_id,arm_index,voltage_before,voltage_after,gradient,accepted,line_search_trials,lr_used
7,2,optimized,,3,0.002828252470207518,0.002825593938920758,MZI5_arm1,current_layer,7,5,1,3.657,3.656702672151903,0.005946556961941113,True,2,0.05
7,2,optimized,,3,0.002825593938920758,0.002823449030571196,MZI7_arm1,current_layer,9,7,1,3.503,3.5030082097137694,-0.0013135542030931902,True,5,0.00625
7,2,optimized,,3,0.002823449030571196,0.002822675784557808,MZI7_arm0,current_layer,13,7,0,3.273,3.2729561599902297,0.0008768001954051532,True,2,0.05
7,2,optimized,,3,0.002822675784557808,0.0026879448361138663,MZI2_arm0,previous_layer_compensation,67,2,0,4.435,4.438634681586363,-0.03634681586363497,True,1,0.1
7,2,optimized,,3,0.0026879448361138663,0.002684979776851075,MZI3_arm0,previous_layer_compensation,66,3,0,4.294,4.294450855218355,-0.0045085521835587575,True,1,0.1
7,2,optimized,,3,0.002684979776851075,0.0026814075704031486,MZI1_arm0,previous_layer_compensation,65,1,0,4.694,4.694325152137848,-0.0032515213784861056,True,1,0.1
7,2,optimized,,3,0.0026814075704031486,0.0026655071185165825,MZI4_arm0,previous_layer_compensation,68,4,0,4.309,4.309063380300569,-0.0006338030056879802,True,1,0.1
7,2,optimized,,4,0.0026802410624379423,0.002647694003261225,MZI6_arm1,current_layer,8,6,1,4.624,4.6255605468315295,-0.015605468315299452,True,1,0.1
7,2,optimized,,4,0.002647694003261225,0.0026322027322905855,MZI6_arm0,current_layer,12,6,0,1.827,1.826965827828398,0.005467547456304128,True,5,0.00625
7,2,optimized,,4,0.0026322027322905855,0.0026322027322905855,MZI5_arm0,current_layer,11,5,0,3.408,3.408,-0.005903836143621236,False,7,0.1
7,2,optimized,,4,0.0026322027322905855,0.002624794721931727,MZI5_arm1,current_layer,7,5,1,3.657,3.65686108522567,0.005556590973189517,True,3,0.025
7,2,optimized,,4,0.002624794721931727,0.002624794721931727,MZI7_arm1,current_layer,9,7,1,3.503,3.503,-0.001329444933273156,False,7,0.1
7,2,optimized,,4,0.002624794721931727,0.002624794721931727,MZI7_arm0,current_layer,13,7,0,3.273,3.273,0.0011774744616411474,False,7,0.1
7,2,optimized,,4,0.002624794721931727,0.0025570990255801267,MZI2_arm0,previous_layer_compensation,67,2,0,4.439,4.442326410424667,-0.0332641042466728,True,1,0.1
7,2,optimized,,4,0.0025570990255801267,0.002548701442661129,MZI3_arm0,previous_layer_compensation,66,3,0,4.294,4.2944381400218665,-0.004381400218670736,True,1,0.1
7,2,optimized,,4,0.002548701442661129,0.002546345216514696,MZI1_arm0,previous_layer_compensation,65,1,0,4.694,4.69404047124388,-0.0032376995103988375,True,4,0.0125
7,2,optimized,,4,0.002546345216514696,0.002546345216514696,MZI4_arm0,previous_layer_compensation,68,4,0,4.309,4.309,-0.0005162820865093202,False,7,0.1
7,2,optimized,,5,0.002555279403861896,0.0025491733332334084,MZI6_arm1,current_layer,8,6,1,4.626,4.62748287665071,-0.014828766507093333,True,1,0.1
