phase(rad),pow(uW),v_up,v_down,p_up,p_down
0.000000000000,122.242200000000,4.171000000000,0.000000000000,0.033610042178,0.000000000000
0.100000000000,115.522500000000,4.203000000000,0.518000000000,0.034127734367,0.000519264888
0.200000000000,108.476800000000,4.234000000000,0.732000000000,0.034633021711,0.001036935159
0.300000000000,100.884000000000,4.265000000000,0.897000000000,0.035142022202,0.001557092182
0.400000000000,93.049130000000,4.296000000000,1.035000000000,0.035654735839,0.002073051721
0.500000000000,85.048070000000,4.327000000000,1.158000000000,0.036171162622,0.002595054940
0.600000000000,76.996000000000,4.358000000000,1.268000000000,0.036691302551,0.003111486672
0.700000000000,69.100000000000,4.388000000000,1.370000000000,0.037198199183,0.003632206843
0.800000000000,61.299910000000,4.418000000000,1.464000000000,0.037708573267,0.004147740635
0.900000000000,53.475950000000,4.448000000000,1.553000000000,0.038222424804,0.004667371279
1.000000000000,46.134060000000,4.478000000000,1.637000000000,0.038739753793,0.005185931749
1.100000000000,39.085720000000,4.508000000000,1.717000000000,0.039260560234,0.005705188897
1.200000000000,32.501670000000,4.537000000000,1.793000000000,0.039767311972,0.006221427107
1.300000000000,29.114200000000,4.566000000000,1.867000000000,0.040277313196,0.006745560999
1.400000000000,20.884360000000,4.595000000000,1.937000000000,0.040790563906,0.007260870306
1.500000000000,15.955190000000,4.624000000000,2.005000000000,0.041307064102,0.007779616557
1.600000000000,11.746160000000,4.652000000000,2.071000000000,0.041808837287,0.008300220614
1.700000000000,8.061967000000,4.681000000000,2.135000000000,0.042331724404,0.008821149789
1.800000000000,5.160738000000,4.709000000000,2.196000000000,0.042839664272,0.009332416429
1.900000000000,2.904027000000,4.737000000000,2.257000000000,0.043350633386,0.009858084947
2.000000000000,1.365488000000,4.765000000000,2.315000000000,0.043864631749,0.010371257776
2.100000000000,0.531090800000,4.793000000000,2.372000000000,0.044381659358,0.010888268138
2.200000000000,0.409390100000,4.821000000000,2.428000000000,0.044901716215,0.011408454189
2.300000000000,0.579713300000,4.848000000000,2.483000000000,0.045406068511,0.011931165697
2.400000000000,2.253074000000,4.875000000000,2.536000000000,0.045913237543,0.012445946690
2.500000000000,4.250811000000,4.903000000000,2.588000000000,0.046442165768,0.012961581113
2.600000000000,6.896652000000,4.930000000000,2.640000000000,0.046955072596,0.013487681184
2.700000000000,10.119390000000,4.956000000000,2.690000000000,0.047451645059,0.014003416239
2.800000000000,14.067160000000,4.983000000000,2.739000000000,0.047970081036,0.014518224325
2.900000000000,18.612010000000,5.010000000000,2.788000000000,0.048491333751,0.015042325318
3.000000000000,23.628680000000,5.036000000000,2.836000000000,0.048995942992,0.015564740738
3.100000000000,29.125440000000,5.062000000000,2.882000000000,0.049503164186,0.016073756722
3.200000000000,35.337180000000,5.089000000000,2.929000000000,0.050032658462,0.016602297101
3.300000000000,41.778960000000,5.115000000000,2.974000000000,0.050545204022,0.017116358194
3.400000000000,48.457980000000,5.140000000000,3.019000000000,0.051040499486,0.017638256911
3.500000000000,55.437910000000,5.166000000000,3.063000000000,0.051558168493,0.018156136185
3.600000000000,62.718800000000,5.192000000000,3.106000000000,0.052078449452,0.018669485118
3.700000000000,70.157370000000,5.217000000000,3.149000000000,0.052581182801,0.019189990480
3.800000000000,77.799380000000,5.243000000000,3.191000000000,0.053106587207,0.019705299787
3.900000000000,85.216630000000,5.268000000000,3.233000000000,0.053614246946,0.020227436536
4.000000000000,92.799240000000,5.293000000000,3.274000000000,0.054124321583,0.020743726997
4.100000000000,100.226100000000,5.318000000000,3.315000000000,0.054636811117,0.021266523655
4.200000000000,107.487000000000,3.249000000000,3.355000000000,0.020393327818,0.021782839274
4.300000000000,114.875000000000,3.290000000000,3.395000000000,0.020911273089,0.022305347584
4.400000000000,122.070300000000,3.330000000000,3.434000000000,0.021422844962,0.022820755587
4.500000000000,128.668500000000,3.369000000000,3.473000000000,0.021927579777,0.023342050517
4.600000000000,134.958200000000,3.409000000000,3.511000000000,0.022451361372,0.023855641352
4.700000000000,140.692900000000,3.447000000000,3.549000000000,0.022954680092,0.024374821091
4.800000000000,145.767500000000,3.486000000000,3.587000000000,0.023477045591,0.024899589734
4.900000000000,148.932100000000,3.524000000000,3.624000000000,0.023991669895,0.025415918899
5.000000000000,154.606500000000,3.561000000000,3.661000000000,0.024498112526,0.025937546687
5.100000000000,158.037200000000,3.598000000000,3.697000000000,0.025009844748,0.026450162173
5.200000000000,160.796700000000,3.635000000000,3.733000000000,0.025526866562,0.026967793739
5.300000000000,162.578000000000,3.671000000000,3.769000000000,0.026034991894,0.027490441385
5.400000000000,164.399100000000,3.707000000000,3.804000000000,0.026548124757,0.028003380052
5.500000000000,165.502200000000,3.743000000000,3.839000000000,0.027066265151,0.028521059999
5.600000000000,165.189500000000,3.778000000000,3.874000000000,0.027574813573,0.029043481224
5.700000000000,164.402000000000,3.813000000000,3.909000000000,0.028088095194,0.029570643729
5.800000000000,162.734200000000,3.848000000000,3.943000000000,0.028606110013,0.030087284465
5.900000000000,160.811500000000,3.882000000000,3.977000000000,0.029113856689,0.030608399419
6.000000000000,158.189400000000,3.916000000000,4.010000000000,0.029626069959,0.031118466226
6.100000000000,154.577100000000,3.950000000000,4.043000000000,0.030142749823,0.031632747934
6.200000000000,150.323300000000,3.983000000000,4.076000000000,0.030648504692,0.032151244541
6.300000000000,145.379900000000,4.016000000000,4.109000000000,0.031158467277,0.032673956049
