target,observed_mzi,dp,pow(uW),opm_raw_uW,opm_mean_uW,opm_std_uW,opm_median_uW,opm_relative_std,opm_read_count,v_primary,v_secondary,p_primary,p_secondary,p_primary_unfolded,p_secondary_unfolded,upper_fold_count,lower_fold_count,scan_type,output_channel,input_channel,path,state,bmzi,warning
6,6,0.000000000000,9.210030000000,"[9.225563000000001, 9.21003, 9.199166]",9.211586333333,0.010832575327,9.210030000000,0.001175972838,3,4.191000000000,4.211000000000,0.034163089599,0.034455235106,0.034163089599,0.034455235106,0,0,sigma_current_sync,1,3,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5,
6,6,0.785398163000,12.763400000000,"[12.753169999999999, 12.7634, 12.76653]",12.761033333333,0.005705157511,12.763400000000,0.000447076452,3,4.447913231018,4.466903938936,0.038479944002,0.038770192818,0.038479944002,0.038770192818,0,0,sigma_current_sync,1,3,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5,
6,6,1.570796327000,113.094200000000,"[113.13539999999999, 113.0942, 113.07570000000001]",113.101766666667,0.024952799887,113.094200000000,0.000220622547,3,4.690776398866,4.708921384159,0.042796798411,0.043085150536,0.042796798411,0.043085150536,0,0,sigma_current_sync,1,3,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5,
6,6,2.356194490000,82.682070000000,"[82.72239, 82.61614999999999, 82.68207]",82.673536666667,0.043790012052,82.682070000000,0.000529673869,3,4.921669872597,4.939094087165,0.047113652815,0.047400108249,0.047113652815,0.047400108249,0,0,sigma_current_sync,1,3,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5,
6,6,3.141592654000,40.059400000000,"[40.0767, 40.0594, 40.0158]",40.050633333333,0.025623470144,40.059400000000,0.000639776903,3,5.142206282163,5.159007676325,0.051430507224,0.051715065967,0.051430507224,0.051715065967,0,0,sigma_current_sync,1,3,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5,
6,6,3.926990817000,5.514639000000,"[5.512085, 5.527429, 5.514639]",5.518051000000,0.006712718873,5.514639000000,0.001216501782,3,3.302442681511,3.327219800017,0.021212526381,0.021510361962,0.055747361628,0.056030023679,1,1,sigma_current_sync,1,3,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5,"period fold applied: upper 0.055747362->0.021212526 W (1), lower 0.056030024->0.021510362 W (1)"
6,6,4.712388980000,3.227703000000,"[3.227703, 3.228736, 3.227323]",3.227920666667,0.000597035082,3.227703000000,0.000184959652,3,3.622924064252,3.645696284292,0.025529380785,0.025825319675,0.060064216032,0.060344981392,1,1,sigma_current_sync,1,3,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5,"period fold applied: upper 0.060064216->0.025529381 W (1), lower 0.060344981->0.025825320 W (1)"
6,6,5.497787144000,34.093150000000,"[34.14087, 34.0828, 34.093149999999994]",34.105606666667,0.025290414961,34.093150000000,0.000741532476,3,3.917273272166,3.938503675231,0.029846235194,0.030140277392,0.064381070441,0.064659939109,1,1,sigma_current_sync,1,3,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5,"period fold applied: upper 0.064381070->0.029846235 W (1), lower 0.064659939->0.030140277 W (1)"
6,6,6.283185307000,79.824840000000,"[79.7575, 79.85264, 79.82484000000001]",79.811660000000,0.039943203010,79.824840000000,0.000500468265,3,4.190999999939,4.210999999940,0.034163089598,0.034455235105,0.068697924845,0.068974896822,1,1,sigma_current_sync,1,3,"[2, 6, 10, 13, 17, 25, 33]","[""H"", ""B"", ""H"", ""C"", ""C"", ""B"", ""B""]",5,"period fold applied: upper 0.068697925->0.034163090 W (1), lower 0.068974897->0.034455235 W (1)"
