,0,1,2,3,4,5,6,7
0,1.0,9.373498641636612e-32,1.405799628556214e-63,2.1083617453895877e-95,4.4466133402097767e-128,3.2677374097802226e-160,1.3613392076355576e-193,6.666716062604308e-226
1,9.373498641636612e-32,1.0,5.99903913064743e-32,1.405799628556214e-63,5.270904363473969e-96,4.4466133402097767e-128,2.667540742677732e-161,1.3613392076355576e-193
2,1.405799628556214e-63,5.99903913064743e-32,1.0,9.373498641636612e-32,1.405799628556214e-63,2.1083617453895877e-95,4.4466133402097767e-128,3.2677374097802226e-160
3,2.1083617453895877e-95,1.405799628556214e-63,9.373498641636612e-32,1.0,5.99903913064743e-32,1.405799628556214e-63,5.270904363473969e-96,4.4466133402097767e-128
4,4.4466133402097767e-128,5.270904363473969e-96,1.405799628556214e-63,5.99903913064743e-32,1.0,9.373498641636612e-32,1.405799628556214e-63,2.1083617453895877e-95
5,3.2677374097802226e-160,4.4466133402097767e-128,2.1083617453895877e-95,1.405799628556214e-63,9.373498641636612e-32,1.0,5.99903913064743e-32,1.405799628556214e-63
6,1.3613392076355576e-193,2.667540742677732e-161,4.4466133402097767e-128,5.270904363473969e-96,1.405799628556214e-63,5.99903913064743e-32,1.0,9.373498641636612e-32
7,6.6667160626043065e-226,1.3613392076355576e-193,3.2677374097802226e-160,4.4466133402097767e-128,2.1083617453895877e-95,1.405799628556214e-63,9.373498641636612e-32,1.0
