theta_name,theta_current_rad,theta_target_rad,error_rad,abs_error_rad
theta5u,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.0943951023931957
theta5d,0.0,0.0,0.0,0.0
theta6u,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.0943951023931957
theta6d,0.0,0.0,0.0,0.0
theta7u,3.141592653589793,1.0471975511965976,-2.0943951023931957,2.0943951023931957
theta7d,0.0,0.0,0.0,0.0
theta8u,3.141592653589793,3.141592653589793,0.0,0.0
theta8d,0.0,0.0,0.0,0.0
