heater,P_current_w,delta_P_raw_w,delta_P_applied_w,P_next_w,R_ohm,port,V_next_v,clipped,warning
5u,0.0312460942360806,0.013315503717302246,0.0004809199946029241,0.031727014230683526,512.0640000350635,11,4.030665182836846,False,
5d,0.0378864429618386,-0.015010234806816878,-0.0005421290996977454,0.037344313862140856,509.8400242919656,7,4.363441976999429,False,
6u,0.0341630895985996,-0.003759589906007944,-0.00013578622301439053,0.03402730337558521,514.1361980539365,12,4.182662834553039,False,
6d,0.0344552351058808,-0.013898316997548798,-0.0005019696345971297,0.03395326547128367,514.6538964400621,8,4.180212957692462,False,
7u,0.0319011354891148,-0.027687565222353196,-0.0010000000000000009,0.0309011354891148,511.3774400151507,13,3.975191009245323,False,
7d,0.0369051185186029,-0.01397861379660317,-0.000504869737889331,0.036400248780713566,511.5557342129538,9,4.315177399661815,False,
8u,0.0311204264845646,-0.0031597375356705224,-0.00011412117715282194,0.031006305307411778,514.1317715531885,14,3.9926590985230193,False,
8d,0.0376250829905009,-0.017652967274690932,-0.0006375774515716207,0.03698750553892928,513.6152391977142,10,4.3585945561274615,False,
