port,voltage_v,measured_current_mA,current_std_mA
1,0.0,-0.0075634439297987644,1.3252839068809688e-05
2,0.0,-0.007481410915375799,1.0408822643825924e-05
3,0.0,-0.007436292757443147,1.841636606249816e-05
4,0.0,-0.007559342279077631,8.986266491922024e-06
5,0.0,-0.0074485977096065935,7.738979102735338e-06
6,0.0,4.1016507211564516e-06,8.470329472543003e-22
7,0.0,-0.15580120264284497,1.5214857595888517e-05
8,0.0,-0.14643303239574065,1.5126140468770383e-05
9,0.0,-0.13535447379791715,6.4069832431055955e-06
10,0.0,-0.12839397252412732,1.575802748763521e-05
11,4.0,7.549539129791838,0.001603513432568212
12,4.191,7.860489148144424,0.0
13,4.039,7.647733872429506,0.0014999494699404292
14,4.0,7.493895442297178,0.0
15,0.0,-0.13352923922700588,9.566611217791335e-06
16,0.0,-0.12730293343230165,1.273494846762232e-05
17,0.0,-0.11051077537991764,9.740880756893451e-06
18,0.0,-0.10270123240684995,9.566611217785624e-06
19,4.119,7.709923876100023,0.0009819474263780491
20,4.285,8.050332317243885,0.0
21,4.157,7.87030862240819,0.0
22,3.957,7.562631762143532,0.0009819474263783158
23,0.0,-0.2798550165173275,0.0013092632351636934
24,0.0,-0.2798550165173275,0.001309263235171132
25,0.0,-0.11344755729626035,1.050535165843826e-05
26,4.084,7.77538703785845,8.881784197001252e-16
27,3.886,7.186218582032518,0.0
28,3.894,7.176399107768754,0.0
29,4.058,7.683738611396637,8.881784197001252e-16
30,0.0,-0.10583079190708665,1.3945612451906848e-05
31,0.0,4.1016507211564516e-06,4.018780547980781e-06
32,0.0,-4.1016507211564516e-06,8.470329472543003e-22
33,3.928,7.379334909219907,0.0009819474263783156
34,0.0,-0.1921951494916001,1.9150800043734903e-05
35,0.0,-0.1850213623803105,7.518449961576007e-06
36,4.0,7.598636501110663,0.0
37,0.0,-0.16267146760076956,1.372674880477504e-05
38,4.057,7.6248217658140485,8.881784197001252e-16
39,0.0,-0.15516954843178804,7.151472398058938e-06
40,3.992,7.539719655528074,0.0
41,4.164,7.7001044018362395,8.881784197001252e-16
42,3.995,7.464437019505883,0.0016035134325777846
43,4.318,8.060151791507652,0.001603513432569082
44,3.977,7.340057012164848,0.001309263235171443
45,4.261,7.952137574606238,8.881784197001252e-16
46,4.329,8.00123494592506,1.7763568394002505e-15
47,0.0,-0.2373039613743401,0.0
48,4.23,7.893220729023646,0.00098194742637272
49,3.062,5.723116916731437,8.881784197001252e-16
50,0.0,4.1016507211564516e-06,8.470329472543003e-22
51,0.0,-0.007198397015616516,8.835226045884089e-06
52,0.0,-0.0072312102213857215,7.382971298063988e-06
53,0.0,-0.007198397015616516,1.4208534887867502e-05
54,0.0,-0.007198397015616516,1.0882909170517134e-05
55,0.0,-4.1016507211564516e-06,8.470329472543003e-22
56,0.0,-4.1016507211564516e-06,8.470329472543003e-22
57,0.0,-4.1016507211564516e-06,8.470329472543003e-22
58,0.0,4.1016507211564516e-06,8.470329472543003e-22
59,0.0,-4.1016507211564516e-06,3.7592249807939294e-06
60,0.0,4.1016507211564516e-06,8.470329472543003e-22
61,0.0,-4.1016507211564516e-06,3.2813205769251615e-06
62,0.0,4.1016507211564516e-06,4.018780547980781e-06
63,0.0,4.1016507211564516e-06,3.7592249807939294e-06
64,0.0,-4.1016507211564516e-06,8.470329472543003e-22
65,4.694,8.616588666454378,0.0
66,4.294,8.187804956936613,1.7763568394002505e-15
67,4.427,8.05687863341974,0.0
68,4.309,7.9783228393096035,0.0
69,0.0,-0.1328524668580163,1.2734948467641092e-05
70,0.0,-0.12962446774047198,1.5236956166138212e-05
71,0.0,-0.10713921848713318,7.337255865955714e-06
72,0.0,-0.10463721154723227,1.0664291874986438e-05
73,4.16,7.765567563594685,0.0
74,4.394,8.220536537815835,0.0009819474263780493
75,4.332,7.124028578362003,0.0
76,4.133,7.755748089330919,8.881784197001252e-16
77,0.0,-0.12073208897702097,8.835226045878934e-06
78,0.0,-0.11818906552990859,1.5236956166128124e-05
79,0.0,-0.11094555035635943,1.0408822643832097e-05
80,0.0,-0.10800056513857446,1.001340552880972e-05
81,4.131,7.749201773155082,1.7763568394002505e-15
82,4.255,7.952137574606238,8.881784197001252e-16
83,4.269,7.991415471661297,0.0009819474263780491
84,4.004,7.578997552583133,8.881784197001252e-16
85,0.0,4.1016507211564516e-06,2.4609904326938706e-06
86,0.0,-4.1016507211564516e-06,8.470329472543003e-22
87,0.0,-4.1016507211564516e-06,8.470329472543003e-22
88,0.0,-4.1016507211564516e-06,8.470329472543003e-22
89,0.0,-4.1016507211564516e-06,8.470329472543003e-22
90,0.0,-4.1016507211564516e-06,8.470329472543003e-22
91,0.0,-4.1016507211564516e-06,8.470329472543003e-22
92,0.0,-4.1016507211564516e-06,3.2813205769251615e-06
93,0.0,-4.1016507211564516e-06,8.470329472543003e-22
94,0.0,-4.1016507211564516e-06,3.2813205769251615e-06
95,0.0,-4.1016507211564516e-06,8.470329472543003e-22
96,0.0,-4.1016507211564516e-06,8.470329472543003e-22
97,0.0,-0.12973111065922188,8.24421591776128e-06
98,0.0,-0.1284760055385503,1.3824449317469602e-05
99,4.196,7.867035464320261,8.881784197001252e-16
100,3.921,7.762294405506757,8.881784197001252e-16
101,4.228,7.991415471661297,0.0
102,3.972,7.510261232736778,8.881784197001252e-16
103,0.0,-0.09554795354916606,1.2708499947973453e-05
104,0.0,-0.09741010297656774,1.3945612451909215e-05
105,4.628,8.413652865003224,1.7763568394002505e-15
106,4.235,7.788479670210142,0.0
107,4.604,8.380921284124002,0.0
108,4.535,8.315458122365557,0.0
109,0.0,4.1016507211564516e-06,8.470329472543003e-22
110,0.0,4.1016507211564516e-06,8.470329472543003e-22
111,0.0,4.1016507211564516e-06,8.470329472543003e-22
112,0.0,4.1016507211564516e-06,8.470329472543003e-22
113,0.0,4.1016507211564516e-06,8.470329472543003e-22
114,0.0,4.1016507211564516e-06,8.470329472543003e-22
115,0.0,-4.1016507211564516e-06,8.470329472543003e-22
116,0.0,4.1016507211564516e-06,3.75922498079393e-06
117,0.0,-4.1016507211564516e-06,3.7592249807939294e-06
118,0.0,4.1016507211564516e-06,8.470329472543003e-22
119,0.0,4.1016507211564516e-06,3.7592249807939294e-06
120,0.0,0.0,4.1016507211564516e-06
121,0.0,4.1016507211564516e-06,8.470329472543003e-22
122,0.0,4.1016507211564516e-06,2.4609904326938706e-06
123,0.0,-4.1016507211564516e-06,8.470329472543003e-22
124,0.0,4.1016507211564516e-06,8.470329472543003e-22
125,0.0,-4.1016507211564516e-06,3.75922498079393e-06
126,0.0,0.0,4.1016507211564516e-06
127,0.0,-4.1016507211564516e-06,8.470329472543003e-22
128,0.0,4.1016507211564516e-06,3.7592249807939294e-06
