3.14159,0.00000
3.14159,0.00000
3.14159,0.00000
3.14159,0.00000
4.60905,2.72810
1.39787,0.09407
2.34688,0.00000
3.14159,0.00000
7.66940,4.52781
4.13756,1.82217
1.65699,1.18809
0.00000,3.14159
2.91919,1.63655
-2.93691,-3.83938
0.32182,0.00000
3.14159,0.00000
6.45598,3.31439
5.11472,4.12004
4.15729,2.95236
0.00000,3.14159
-3.55048,-4.74177
-2.92082,-4.17665
1.27152,0.00000
3.14159,0.00000
6.41461,3.27302
2.17693,1.22429
3.03621,0.00000
0.00000,3.14159
3.14159,0.00000
3.14159,0.00000
3.14159,0.00000
3.14159,0.00000
3.14159,0.00000
3.14159,0.00000
3.14159,0.00000
3.14159,0.00000
