heater,power_w,bar_voltage_v,R_ohm,source
5u,0.031246094236080654,4.0,512.0640000350635,MZI_table Bar state
5d,0.03788644296183867,4.395,509.8400242919656,MZI_table Bar state
6u,0.03416308959859963,4.191,514.1361980539365,MZI_table Bar state
6d,0.03445523510588086,4.211,514.6538964400621,MZI_table Bar state
7u,0.0319011354891148,4.039,511.3774400151507,MZI_table Bar state
7d,0.03690511851860293,4.345,511.5557342129538,MZI_table Bar state
8u,0.03112042648456467,4.0,514.1317715531885,MZI_table Bar state
8d,0.037625082990500956,4.396,513.6152391977142,MZI_table Bar state
