observed_mzi,probe_arm,perturbed_heater,delta_power_w,eta_base,eta_pert,delta_eta_rad,abs_delta_eta_rad,delta_delta_rad,J_delta_rad_per_w,J_delta_rad_per_mw,j_delta_rad_per_w,j_delta_rad_per_mw,baseline_rmse_uW,perturbed_rmse_uW,baseline_A,baseline_b,perturbed_A,perturbed_b,baseline_outlier_removed,baseline_excluded_index,baseline_full_rmse_before_outlier_removal_uW,perturbed_outlier_removed,perturbed_excluded_index,perturbed_full_rmse_before_outlier_removal_uW,warning,quality_warning,base_A,base_w,base_phi,base_b,base_rmse_uW,base_visibility,base_fit_visibility,base_normalized_rmse,base_num_points,base_num_points_used,base_outlier_removed,base_outlier_indices,base_full_rmse_before_outlier_removal,base_fit_success,base_fit_warning,base_fit_mode,pert_A,pert_w,pert_phi,pert_b,pert_rmse_uW,pert_visibility,pert_fit_visibility,pert_normalized_rmse,pert_num_points,pert_num_points_used,pert_outlier_removed,pert_outlier_indices,pert_full_rmse_before_outlier_removal,pert_fit_success,pert_fit_warning,pert_fit_mode
5,u,5u,0.001,2.6009194019333517,2.770116297605167,0.16919689567181528,0.16919689567181528,0.16919689567181528,169.19689567181527,0.16919689567181526,169.19689567181527,0.16919689567181526,0.027272789677569232,0.025772497071230683,45.0260943524818,49.557523481009355,44.40973524414438,49.226622068843746,False,,0.027272789677569232,False,,0.025772497071230683,,,45.0260943524818,179.8566249709832,2.6009194019333517,49.557523481009355,0.027272789677569232,0.09582195042447622,1.8171244723209778,0.0006057107566129812,9,9,False,[],0.027272789677569232,True,,full_fixed_w_fit_A_phi_b,44.40973524414438,179.8566249709832,2.770116297605167,49.226622068843746,0.025772497071230683,0.11373225915452438,1.8042974869182402,0.0005803344003188783,9,9,False,[],0.025772497071230683,True,,full_fixed_w_fit_A_phi_b
6,u,5u,0.001,1.353766793889636,1.2775562139369754,-0.07621057995266067,0.07621057995266067,-0.07621057995266067,-76.21057995266067,-0.07621057995266066,-76.21057995266067,-0.07621057995266066,0.016806797604439833,0.007203705447315008,8.24195950877607,43.3536466970612,6.247018723199219,42.017197005932964,False,,0.016806797604439833,False,,0.007203705447315008,,low_visibility,8.24195950877607,181.93760770075124,1.353766793889636,43.3536466970612,0.016806797604439833,0.0062964446658286015,0.3802198955196433,0.002039174978540466,9,9,False,[],0.016806797604439833,True,,full_fixed_w_fit_A_phi_b,6.247018723199219,181.93760770075124,1.2775562139369754,42.017197005932964,0.007203705447315008,0.006838632674306946,0.2973553291675844,0.0011531429256907766,9,9,False,[],0.007203705447315008,True,,full_fixed_w_fit_A_phi_b
7,u,5u,0.001,1.9165421598410566,1.8830358411396624,-0.0335063187013942,0.0335063187013942,-0.0335063187013942,-33.5063187013942,-0.0335063187013942,-33.5063187013942,-0.0335063187013942,0.026574636676533387,0.023585945291443568,36.2405375652441,40.4626809259541,39.47370374295107,36.7784238716627,False,,0.026574636676533387,False,,0.023585945291443568,,low_visibility,36.2405375652441,180.85551150485253,1.9165421598410566,40.4626809259541,0.026574636676533387,0.03018634587818663,1.7913067911423644,0.0007332848368678549,9,9,False,[],0.026574636676533387,True,,full_fixed_w_fit_A_phi_b,39.47370374295107,180.85551150485253,1.8830358411396624,36.7784238716627,0.023585945291443568,0.02928105603541823,2.1465685359815025,0.0005975103183889952,9,9,False,[],0.023585945291443568,True,,full_fixed_w_fit_A_phi_b
8,u,5u,0.001,0.8613111409833705,0.8827747386133655,0.021463597629995057,0.021463597629995057,0.021463597629995057,21.463597629995057,0.021463597629995057,21.463597629995057,0.021463597629995057,0.023563773892824515,0.03100331033239965,38.50933128517858,50.071468335661066,39.240209943228976,48.94173130507739,False,,0.023563773892824515,False,,0.03100331033239965,,,38.50933128517858,181.42825620486886,0.8613111409833705,50.071468335661066,0.023563773892824515,0.057574494559449615,1.5381746357836328,0.0006118977688374897,9,9,False,[],0.023563773892824515,True,,full_fixed_w_fit_A_phi_b,39.240209943228976,181.42825620486886,0.8827747386133655,48.94173130507739,0.03100331033239965,0.057250531318081534,1.6035480926747705,0.0007900903276831058,9,9,False,[],0.03100331033239965,True,,full_fixed_w_fit_A_phi_b
5,u,5d,0.001,2.6009194019333517,2.3734229066305677,-0.22749649530278404,0.22749649530278404,-0.22749649530278404,-227.49649530278404,-0.22749649530278404,-227.49649530278404,-0.22749649530278404,0.027272789677569232,0.6217420990004402,45.0260943524818,49.557523481009355,46.30564393444415,48.066771320064376,False,,0.027272789677569232,False,,0.6217420990004402,,,45.0260943524818,179.8566249709832,2.6009194019333517,49.557523481009355,0.027272789677569232,0.09582195042447622,1.8171244723209778,0.0006057107566129812,9,9,False,[],0.027272789677569232,True,,full_fixed_w_fit_A_phi_b,46.30564393444415,179.8566249709832,2.3734229066305677,48.066771320064376,0.6217420990004402,0.07724555096079416,1.9267216275504202,0.013426918322972752,9,9,False,[],0.6217420990004402,True,,full_fixed_w_fit_A_phi_b
6,u,5d,0.001,1.353766793889636,1.2836323829384106,-0.07013441095122541,0.07013441095122541,-0.07013441095122541,-70.1344109512254,-0.0701344109512254,-70.1344109512254,-0.0701344109512254,0.016806797604439833,0.023100765685881326,8.24195950877607,43.3536466970612,7.191423813259443,43.405276509224215,False,,0.016806797604439833,False,,0.023100765685881326,,low_visibility,8.24195950877607,181.93760770075124,1.353766793889636,43.3536466970612,0.016806797604439833,0.0062964446658286015,0.3802198955196433,0.002039174978540466,9,9,False,[],0.016806797604439833,True,,full_fixed_w_fit_A_phi_b,7.191423813259443,181.93760770075124,1.2836323829384106,43.405276509224215,0.023100765685881326,0.007656911085544688,0.3313617325640659,0.0032122659275467076,9,9,False,[],0.023100765685881326,True,,full_fixed_w_fit_A_phi_b
7,u,5d,0.001,1.9165421598410566,1.9038980798770764,-0.012644079963980204,0.012644079963980204,-0.012644079963980204,-12.644079963980204,-0.012644079963980204,-12.644079963980204,-0.012644079963980204,0.026574636676533387,0.04127895951866464,36.2405375652441,40.4626809259541,36.70209213242664,39.51010759236812,False,,0.026574636676533387,True,6,0.21360598844239345,,low_visibility; outlier_removed,36.2405375652441,180.85551150485253,1.9165421598410566,40.4626809259541,0.026574636676533387,0.03018634587818663,1.7913067911423644,0.0007332848368678549,9,9,False,[],0.026574636676533387,True,,full_fixed_w_fit_A_phi_b,36.70209213242664,180.85551150485253,1.9038980798770764,39.51010759236812,0.04127895951866464,0.029051499017202102,1.857858374423466,0.0011247031741330707,9,8,True,[6],0.21360598844239345,True,,full_fixed_w_fit_A_phi_b
8,u,5d,0.001,0.8613111409833705,0.8489637795630354,-0.012347361420335101,0.012347361420335101,-0.012347361420335101,-12.347361420335101,-0.012347361420335101,-12.347361420335101,-0.012347361420335101,0.023563773892824515,0.03837442845477729,38.50933128517858,50.071468335661066,38.12910394540588,50.781608200759344,False,,0.023563773892824515,False,,0.03837442845477729,,,38.50933128517858,181.42825620486886,0.8613111409833705,50.071468335661066,0.023563773892824515,0.057574494559449615,1.5381746357836328,0.0006118977688374897,9,9,False,[],0.023563773892824515,True,,full_fixed_w_fit_A_phi_b,38.12910394540588,181.42825620486886,0.8489637795630354,50.781608200759344,0.03837442845477729,0.05771263018877746,1.5016895012330755,0.0010064340486396603,9,9,False,[],0.03837442845477729,True,,full_fixed_w_fit_A_phi_b
5,u,6u,0.001,2.6009194019333517,2.647492790732521,0.04657338879916928,0.04657338879916928,0.04657338879916928,46.57338879916928,0.04657338879916928,46.57338879916928,0.04657338879916928,0.027272789677569232,0.04283877093919425,45.0260943524818,49.557523481009355,43.37612505625449,51.72255191507507,False,,0.027272789677569232,True,7,0.5327538302667921,,outlier_removed,45.0260943524818,179.8566249709832,2.6009194019333517,49.557523481009355,0.027272789677569232,0.09582195042447622,1.8171244723209778,0.0006057107566129812,9,9,False,[],0.027272789677569232,True,,full_fixed_w_fit_A_phi_b,43.37612505625449,179.8566249709832,2.647492790732521,51.72255191507507,0.04283877093919425,0.0954779140581788,1.6772615986726698,0.0009876117537847527,9,8,True,[7],0.5327538302667921,True,,full_fixed_w_fit_A_phi_b
6,u,6u,0.001,1.353766793889636,1.463924586417356,0.11015779252771996,0.11015779252771996,0.11015779252771996,110.15779252771995,0.11015779252771994,110.15779252771995,0.11015779252771994,0.016806797604439833,0.01824382529574688,8.24195950877607,43.3536466970612,6.823486420849552,44.74142475801653,False,,0.016806797604439833,False,,0.01824382529574688,,low_visibility,8.24195950877607,181.93760770075124,1.353766793889636,43.3536466970612,0.016806797604439833,0.0062964446658286015,0.3802198955196433,0.002039174978540466,9,9,False,[],0.016806797604439833,True,,full_fixed_w_fit_A_phi_b,6.823486420849552,181.93760770075124,1.463924586417356,44.74142475801653,0.01824382529574688,0.00272036783161392,0.30501873633905485,0.0026736808972026137,9,9,False,[],0.01824382529574688,True,,full_fixed_w_fit_A_phi_b
