observed_mzi,bmzi,perturbed_heater,delta_power_w,sigma_scan_mode,fit_mode,beta_base,beta_pert,delta_beta,delta_beta_rad,abs_delta_beta_rad,sigma_coeff,relative_sigma_link_rad,J_sigma_link_rad_per_w,J_sigma_link_rad_per_mw,j_sigma_link_rad_per_w,j_sigma_link_rad_per_mw,baseline_rmse_uW,perturbed_rmse_uW,baseline_A,baseline_b,perturbed_A,perturbed_b,baseline_outlier_removed,baseline_excluded_index,baseline_full_rmse_before_outlier_removal_uW,perturbed_outlier_removed,perturbed_excluded_index,perturbed_full_rmse_before_outlier_removal_uW,warning,quality_warning,base_A,base_w,base_phi,base_b,base_rmse_uW,base_visibility,base_fit_visibility,base_normalized_rmse,base_num_points,base_num_points_used,base_outlier_removed,base_outlier_indices,base_full_rmse_before_outlier_removal,base_fit_success,base_fit_warning,base_fit_mode,pert_A,pert_w,pert_phi,pert_b,pert_rmse_uW,pert_visibility,pert_fit_visibility,pert_normalized_rmse,pert_num_points,pert_num_points_used,pert_outlier_removed,pert_outlier_indices,pert_full_rmse_before_outlier_removal,pert_fit_success,pert_fit_warning,pert_fit_mode,bmzi_global_delta_sigma_rad,global_delta_sigma_rad,J_sigma_global_rad_per_w
5,0,5u,0.001,full,full_fixed_w_fit_A_phi_b,0.21829847836389238,0.20652064678087,-0.011777831583022369,-0.011777831583022369,0.011777831583022369,2.0,-0.023555663166044738,-23.555663166044738,-0.023555663166044738,-23.555663166044738,-0.023555663166044738,0.9571871731046595,4.023528277874667,64.33951604548656,81.5477450572965,67.28755514282783,82.96590510978885,False,,0.9571871731046595,True,0,27.752267054935924,sigma_coeff default +2,outlier_removed,64.33951604548656,1.0027449316595205,0.21829847836389238,81.5477450572965,0.9571871731046595,0.7603359265186211,1.5779594150710308,0.014877127338476561,9,9,False,[],0.9571871731046595,True,,full_free_fit,67.28755514282783,1.0027449316595205,0.20652064678087,82.96590510978885,4.023528277874667,0.7779106142710225,1.6220531808526926,0.059796024232625644,9,8,True,[0],27.752267054935924,True,,full_fixed_w_fit_A_phi_b,0.0,-0.023555663166044738,-23.555663166044738
6,5,5u,0.001,full,full_fixed_w_fit_A_phi_b,-1.5499074585143484,-1.6156072731579996,-0.06569981464365116,-0.06569981464365116,0.06569981464365116,2.0,-0.1313996292873023,-131.3996292873023,-0.1313996292873023,-131.3996292873023,-0.1313996292873023,1.1378107252146454,1.3266073338099666,53.01371948663705,54.18349654207655,54.77290982482721,55.16791693924465,False,,1.1378107252146454,True,3,6.225968288511196,sigma_coeff default +2,outlier_removed,53.01371948663705,1.0032216566689005,-1.5499074585143484,54.18349654207655,1.1378107252146454,0.9932014794829777,1.95682164754609,0.02146257112748802,9,9,False,[],1.1378107252146454,True,,full_free_fit,54.77290982482721,1.0032216566689005,-1.6156072731579996,55.16791693924465,1.3266073338099666,0.9978394476396146,1.9856798249296796,0.02422013615951162,9,8,True,[3],6.225968288511196,True,,full_fixed_w_fit_A_phi_b,-0.023555663166044738,-0.15495529245334705,-154.95529245334706
7,6,5u,0.001,full,full_fixed_w_fit_A_phi_b,-1.279424239068717,-1.265941078941345,0.013483160127371718,0.013483160127371718,0.013483160127371718,2.0,0.026966320254743437,26.966320254743437,0.026966320254743437,26.966320254743437,0.026966320254743437,0.06607997637423842,0.07963693061017516,5.098700826003978,5.313459803515095,5.234521612451403,5.470017014819165,False,,0.06607997637423842,False,,0.07963693061017516,sigma_coeff default +2,,5.098700826003978,1.0069923778269545,-1.279424239068717,5.313459803515095,0.06607997637423842,0.9094261216586425,1.9191641659285559,0.012960159583637994,9,9,False,[],0.06607997637423842,True,,full_free_fit,5.234521612451403,1.0069923778269545,-1.265941078941345,5.470017014819165,0.07963693061017516,0.9004489430263053,1.9138959159615898,0.015213793447856262,9,9,False,[],0.07963693061017516,True,,full_fixed_w_fit_A_phi_b,-0.15495529245334705,-0.1279889721986036,-127.98897219860362
8,7,5u,0.001,full,full_fixed_w_fit_A_phi_b,-0.9489163794932787,-0.9723299847961622,-0.0234136053028835,-0.0234136053028835,0.0234136053028835,2.0,-0.046827210605767,-46.827210605767,-0.046827210605767,-46.827210605767,-0.046827210605767,0.08937443022668505,0.029671084917596808,2.2289864729303366,2.4406552903681304,2.344226516196219,2.477716710078493,True,1,0.24906323389255322,False,,0.029671084917596808,sigma_coeff default +2,outlier_removed,2.2289864729303366,0.9989500424389421,-0.9489163794932787,2.4406552903681304,0.08937443022668505,0.828799425488765,1.8265475519848053,0.0400964435235845,9,8,True,[1],0.24906323389255322,True,,full_free_fit,2.344226516196219,0.9989500424389421,-0.9723299847961622,2.477716710078493,0.029671084917596808,0.9340134829836622,1.89224741203118,0.01265708954002517,9,9,False,[],0.029671084917596808,True,,full_fixed_w_fit_A_phi_b,-0.1279889721986036,-0.1748161828043706,-174.8161828043706
5,0,5d,0.001,full,full_fixed_w_fit_A_phi_b,0.21829847836389238,0.3153684670435255,0.09706998867963312,0.09706998867963312,0.09706998867963312,2.0,0.19413997735926625,194.13997735926625,0.19413997735926625,194.13997735926625,0.19413997735926625,0.9571871731046595,0.8602330779020487,64.33951604548656,81.5477450572965,60.76941818096692,79.97564330241,False,,0.9571871731046595,True,8,8.46084726556268,sigma_coeff default +2,outlier_removed,64.33951604548656,1.0027449316595205,0.21829847836389238,81.5477450572965,0.9571871731046595,0.7603359265186211,1.5779594150710308,0.014877127338476561,9,9,False,[],0.9571871731046595,True,,full_free_fit,60.76941818096692,1.0027449316595205,0.3153684670435255,79.97564330241,0.8602330779020487,0.7115118412888024,1.5196981398744356,0.01415569053730837,9,8,True,[8],8.46084726556268,True,,full_fixed_w_fit_A_phi_b,0.0,0.19413997735926625,194.13997735926625
6,5,5d,0.001,full,full_fixed_w_fit_A_phi_b,-1.5499074585143484,-1.66879890913955,-0.11889145062520168,-0.11889145062520168,0.11889145062520168,2.0,-0.23778290125040336,-237.78290125040334,-0.23778290125040333,-237.78290125040334,-0.23778290125040333,1.1378107252146454,1.1614804937620504,53.01371948663705,54.18349654207655,51.22073413970877,51.94286291552579,False,,1.1378107252146454,False,,1.1614804937620504,sigma_coeff default +2,,53.01371948663705,1.0032216566689005,-1.5499074585143484,54.18349654207655,1.1378107252146454,0.9932014794829777,1.95682164754609,0.02146257112748802,9,9,False,[],1.1378107252146454,True,,full_free_fit,51.22073413970877,1.0032216566689005,-1.66879890913955,51.94286291552579,1.1614804937620504,0.9896974558594841,1.9721952647472893,0.02267598294460241,9,9,False,[],1.1614804937620504,True,,full_fixed_w_fit_A_phi_b,0.19413997735926625,-0.04364292389113709,-43.64292389113709
7,6,5d,0.001,full,full_fixed_w_fit_A_phi_b,-1.279424239068717,-1.2760125499374562,0.0034116891312607756,0.0034116891312607756,0.0034116891312607756,2.0,0.006823378262521551,6.823378262521551,0.006823378262521551,6.823378262521551,0.006823378262521551,0.06607997637423842,0.06878363746487474,5.098700826003978,5.313459803515095,5.049256328005169,5.236732575932819,False,,0.06607997637423842,False,,0.06878363746487474,sigma_coeff default +2,,5.098700826003978,1.0069923778269545,-1.279424239068717,5.313459803515095,0.06607997637423842,0.9094261216586425,1.9191641659285559,0.012960159583637994,9,9,False,[],0.06607997637423842,True,,full_free_fit,5.049256328005169,1.0069923778269545,-1.2760125499374562,5.236732575932819,0.06878363746487474,0.9134073181867778,1.9283995334078123,0.01362252834806059,9,9,False,[],0.06878363746487474,True,,full_fixed_w_fit_A_phi_b,-0.04364292389113709,-0.03681954562861554,-36.819545628615536
8,7,5d,0.001,full,full_fixed_w_fit_A_phi_b,-0.9489163794932787,-0.9172069687260782,0.03170941076720046,0.03170941076720046,0.03170941076720046,2.0,0.06341882153440093,63.41882153440093,0.06341882153440093,63.41882153440093,0.06341882153440093,0.08937443022668505,0.03486492924099941,2.2289864729303366,2.4406552903681304,2.2675555059271173,2.3632660709276743,True,1,0.24906323389255322,True,1,0.27101175365998953,sigma_coeff default +2,outlier_removed,2.2289864729303366,0.9989500424389421,-0.9489163794932787,2.4406552903681304,0.08937443022668505,0.828799425488765,1.8265475519848053,0.0400964435235845,9,8,True,[1],0.24906323389255322,True,,full_free_fit,2.2675555059271173,0.9989500424389421,-0.9172069687260782,2.3632660709276743,0.03486492924099941,0.9532223602482391,1.9190014478877642,0.015375557136249446,9,8,True,[1],0.27101175365998953,True,,full_fixed_w_fit_A_phi_b,-0.03681954562861554,0.02659927590578539,26.59927590578539
5,0,6u,0.001,full,full_fixed_w_fit_A_phi_b,0.21829847836389238,0.20815900382759933,-0.010139474536293047,-0.010139474536293047,0.010139474536293047,2.0,-0.020278949072586094,-20.278949072586094,-0.020278949072586094,-20.278949072586094,-0.020278949072586094,0.9571871731046595,0.7115542463033183,64.33951604548656,81.5477450572965,64.22678867856303,81.81354898789435,False,,0.9571871731046595,True,4,8.43593506467709,sigma_coeff default +2,outlier_removed,64.33951604548656,1.0027449316595205,0.21829847836389238,81.5477450572965,0.9571871731046595,0.7603359265186211,1.5779594150710308,0.014877127338476561,9,9,False,[],0.9571871731046595,True,,full_free_fit,64.22678867856303,1.0027449316595205,0.20815900382759933,81.81354898789435,0.7115542463033183,0.7612120094522986,1.5700770709278589,0.01107877664356608,9,8,True,[4],8.43593506467709,True,,full_fixed_w_fit_A_phi_b,0.0,-0.020278949072586094,-20.278949072586094
6,5,6u,0.001,full,full_fixed_w_fit_A_phi_b,-1.5499074585143484,-1.5511912709113589,-0.0012838123970104753,-0.0012838123970104753,0.0012838123970104753,2.0,-0.0025676247940209507,-2.5676247940209507,-0.0025676247940209507,-2.5676247940209507,-0.0025676247940209507,1.1378107252146454,1.0269516749665188,53.01371948663705,54.18349654207655,53.353450774268424,53.93494520746335,False,,1.1378107252146454,False,,1.0269516749665188,sigma_coeff default +2,,53.01371948663705,1.0032216566689005,-1.5499074585143484,54.18349654207655,1.1378107252146454,0.9932014794829777,1.95682164754609,0.02146257112748802,9,9,False,[],1.1378107252146454,True,,full_free_fit,53.353450774268424,1.0032216566689005,-1.5511912709113589,53.93494520746335,1.0269516749665188,0.9932329762911412,1.978437192029836,0.019248083489696272,9,9,False,[],1.0269516749665188,True,,full_fixed_w_fit_A_phi_b,-0.020278949072586094,-0.022846573866607045,-22.846573866607045
