,P5u,P5d,P6u,P6d,P7u,P7d,P8u,P8d
Sigma5,0.004631114975521378,0.1935296329594154,-0.006481418975711861,0.005163081208994669,0.020134109546154022,-0.01278808253671393,-0.023474380702118935,0.008405292209792137
Sigma6,-0.1308041076661155,-0.22706383065390942,-0.006002253842105176,0.1766963598600233,-0.0035232644810756497,-0.004208526389515299,-0.00661133623896859,-0.006554988382016624
Sigma7,0.04859831060528208,0.02539477943441426,-0.13732437843735568,-0.133047292740458,0.017610421196291526,-0.1117448818724327,0.022915057255282534,0.020735190591523178
Sigma8,-0.05626794112113487,0.048475536888996196,0.02073009517021518,-0.007831925277585583,-0.11541648022675588,-0.1739547048807104,0.0014455517076044089,0.18749670627461512
