timestamp,port,voltage,current_mA,threshold_mA,min_check_voltage,attempts
2026-07-05 14:46:51,7,3.63,-0.09703275111022203,0.01,0.5,10
2026-07-05 14:46:51,8,3.525,-0.09897693355204666,0.01,0.5,10
2026-07-05 14:46:51,13,3.273,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,14,5.095,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,19,4.119,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,20,4.285,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,21,4.157,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,22,3.957,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,26,4.084,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,27,3.886,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,28,3.894,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,29,4.058,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,33,3.928,-0.00837967242330743,0.01,0.5,10
2026-07-05 14:46:51,36,4.0,-0.008576551657922565,0.01,0.5,10
2026-07-05 14:46:51,38,4.057,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,48,4.23,-0.12808224706931998,0.01,0.5,10
2026-07-05 14:46:51,49,4.294,-0.11153618806020489,0.01,0.5,10
2026-07-05 14:46:51,66,4.294,-0.19012381587741983,0.01,0.5,10
2026-07-05 14:46:51,67,4.427,-0.1828474874981015,0.01,0.5,10
2026-07-05 14:46:51,82,4.255,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 14:46:51,83,4.269,-0.007830051226673445,0.01,0.5,10
2026-07-05 14:46:51,84,4.004,-0.007756221513692768,0.01,0.5,10
2026-07-05 14:46:51,101,4.228,-0.13352923922700588,0.01,0.5,10
2026-07-05 14:46:51,102,3.972,-0.13256290256083544,0.01,0.5,10
2026-07-05 17:31:28,7,3.617,-0.0971640039332988,0.01,0.5,10
2026-07-05 17:31:28,8,3.525,-0.09902615336070045,0.01,0.5,10
2026-07-05 17:31:28,13,3.273,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,14,5.095,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,19,4.119,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,20,4.285,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,21,4.157,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,22,3.957,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,26,4.084,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,27,3.886,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,28,3.894,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,29,4.058,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,33,3.928,-0.008355062518980537,0.01,0.5,10
2026-07-05 17:31:28,36,4.0,-0.008560145055037986,0.01,0.5,10
2026-07-05 17:31:28,38,4.057,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,48,4.23,-0.12813967017941608,0.01,0.5,10
2026-07-05 17:31:28,49,4.294,-0.11157720456741639,0.01,0.5,10
2026-07-05 17:31:28,66,4.294,-0.19018944228895823,0.01,0.5,10
2026-07-05 17:31:28,67,4.427,-0.18293772381396678,0.01,0.5,10
2026-07-05 17:31:28,82,4.255,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 17:31:28,83,4.269,-0.007821847925231176,0.01,0.5,10
2026-07-05 17:31:28,84,4.004,-0.007764424815135079,0.01,0.5,10
2026-07-05 17:31:28,101,4.228,-0.13361947554287112,0.01,0.5,10
2026-07-05 17:31:28,102,3.972,-0.13031354506162504,0.01,0.5,10
2026-07-05 19:09:51,7,3.615,-0.09743471288089464,0.01,0.5,10
2026-07-05 19:09:51,8,3.525,-0.09929686230829629,0.01,0.5,10
2026-07-05 19:09:51,13,3.273,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,14,5.095,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,19,4.119,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,20,4.285,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,21,4.157,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,22,3.957,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,26,4.084,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,27,3.886,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,28,3.894,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,29,4.058,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,33,3.928,-0.008674991275230134,0.01,0.5,10
2026-07-05 19:09:51,36,4.0,-0.008888277112729897,0.01,0.5,10
2026-07-05 19:09:51,38,4.057,4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,48,4.23,-0.1284103791270119,0.01,0.5,10
2026-07-05 19:09:51,49,4.294,-0.11181510030924302,0.01,0.5,10
2026-07-05 19:09:51,66,4.294,-0.19050116774376552,0.01,0.5,10
2026-07-05 19:09:51,67,4.427,-0.18320022946012035,0.01,0.5,10
2026-07-05 19:09:51,69,3.928,-0.16088724953706973,0.01,0.5,10
2026-07-05 19:09:51,71,4.161,-0.1532089593870788,0.01,0.5,10
2026-07-05 19:09:51,82,4.255,-4.1016507211564516e-06,0.01,0.5,10
2026-07-05 19:09:51,83,4.269,-0.00805154036561552,0.01,0.5,10
2026-07-05 19:09:51,84,4.004,-0.008035133762730894,0.01,0.5,10
2026-07-05 21:01:23,7,3.615,,0.01,0.5,10
2026-07-05 21:01:23,8,3.525,,0.01,0.5,10
2026-07-05 21:01:23,9,3.503,,0.01,0.5,10
2026-07-05 21:01:23,10,3.166,,0.01,0.5,10
2026-07-05 21:01:23,11,2.4,,0.01,0.5,10
2026-07-05 21:01:23,12,2.512,,0.01,0.5,10
2026-07-05 21:01:23,13,3.273,,0.01,0.5,10
2026-07-05 21:01:23,14,5.095,,0.01,0.5,10
2026-07-05 21:01:23,19,4.119,,0.01,0.5,10
2026-07-05 21:01:23,20,4.285,,0.01,0.5,10
2026-07-05 21:01:23,21,4.157,,0.01,0.5,10
2026-07-05 21:01:23,22,3.957,,0.01,0.5,10
2026-07-05 21:01:23,26,4.084,,0.01,0.5,10
2026-07-05 21:01:23,27,3.886,,0.01,0.5,10
2026-07-05 21:01:23,28,3.894,,0.01,0.5,10
2026-07-05 21:01:23,29,4.058,,0.01,0.5,10
2026-07-05 21:01:23,33,3.928,,0.01,0.5,10
2026-07-05 21:01:23,36,4.0,,0.01,0.5,10
2026-07-05 21:01:23,38,4.057,,0.01,0.5,10
2026-07-05 21:01:23,40,3.992,,0.01,0.5,10
2026-07-05 21:01:23,41,4.164,,0.01,0.5,10
2026-07-05 21:01:23,42,2.641,,0.01,0.5,10
2026-07-05 21:01:23,43,4.318,,0.01,0.5,10
2026-07-05 21:01:23,44,3.977,,0.01,0.5,10
2026-07-05 21:01:23,45,4.261,,0.01,0.5,10
2026-07-05 21:01:23,46,4.329,,0.01,0.5,10
2026-07-05 21:01:23,48,4.23,,0.01,0.5,10
2026-07-05 21:01:23,49,4.294,,0.01,0.5,10
2026-07-05 21:01:23,65,4.694,,0.01,0.5,10
2026-07-05 21:01:23,66,4.294,,0.01,0.5,10
2026-07-05 21:01:23,67,4.427,,0.01,0.5,10
2026-07-05 21:01:23,68,4.309,,0.01,0.5,10
2026-07-05 21:01:23,69,3.927,,0.01,0.5,10
2026-07-05 21:01:23,70,3.967,,0.01,0.5,10
2026-07-05 21:01:23,71,4.118,,0.01,0.5,10
2026-07-05 21:01:23,73,3.825,,0.01,0.5,10
2026-07-05 21:01:23,74,3.365,,0.01,0.5,10
2026-07-05 21:01:23,75,3.551,,0.01,0.5,10
2026-07-05 21:01:23,76,3.368,,0.01,0.5,10
2026-07-05 21:01:23,81,4.131,,0.01,0.5,10
2026-07-05 21:01:23,82,4.255,,0.01,0.5,10
2026-07-05 21:01:23,83,4.269,,0.01,0.5,10
2026-07-05 21:01:23,84,4.004,,0.01,0.5,10
2026-07-05 21:01:23,99,4.196,,0.01,0.5,10
2026-07-05 21:01:23,100,3.921,,0.01,0.5,10
2026-07-05 21:01:23,101,4.228,,0.01,0.5,10
2026-07-05 21:01:23,102,3.972,,0.01,0.5,10
2026-07-05 21:01:23,105,4.628,,0.01,0.5,10
2026-07-05 21:01:23,106,4.235,,0.01,0.5,10
2026-07-05 21:01:23,107,4.604,,0.01,0.5,10
2026-07-05 21:01:23,108,4.535,,0.01,0.5,10
2026-07-06 02:13:43,7,3.615,-0.09727064685204868,0.01,0.5,10
2026-07-06 02:13:43,8,3.525,-0.0991327962794503,0.01,0.5,10
2026-07-06 02:13:43,13,3.273,4.1016507211564516e-06,0.01,0.5,10
2026-07-06 02:13:43,14,5.095,4.1016507211564516e-06,0.01,0.5,10
2026-07-06 02:13:43,19,4.119,-4.1016507211564516e-06,0.01,0.5,10
2026-07-06 02:13:43,20,4.285,-4.1016507211564516e-06,0.01,0.5,10
