global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,heater_label,heater_port,mzi_id,arm_index,voltage_before,voltage_after,gradient,accepted,line_search_trials,lr_used
4,2,optimized,,0,0.007411441113674604,0.007180534146066302,MZI5_arm0,11,5,0,2.372,2.376654250928999,-0.04654250928999256,True,1,0.1
4,2,optimized,,0,0.007180534146066302,0.006730405154463435,MZI5_arm1,7,5,1,3.658,3.6512027419183,0.06797258081699521,True,1,0.1
4,2,optimized,,0,0.006730405154463435,0.0067190593650652535,MZI6_arm0,12,6,0,2.512,2.5121136037885834,-0.0022720757716665593,True,2,0.05
4,2,optimized,,0,0.0067190593650652535,0.0067190593650652535,MZI6_arm1,8,6,1,3.525,3.525,0.0027348324498268463,False,7,0.1
4,2,optimized,,0,0.0067190593650652535,0.0067190593650652535,MZI7_arm0,13,7,0,3.273,3.273,0.0006768035377371911,False,7,0.1
4,2,optimized,,0,0.0067190593650652535,0.006715427124587795,MZI7_arm1,9,7,1,3.503,3.50298977174533,0.0002045650933966447,True,2,0.05
4,2,optimized,,0,0.006715427124587795,0.006712564685014257,MZI8_arm0,14,8,0,5.095,5.094992902829858,0.0005677736113351107,True,4,0.0125
4,2,optimized,,0,0.006712564685014257,0.006712564685014257,MZI8_arm1,10,8,1,3.166,3.166,3.951402912315789e-06,False,7,0.1
4,2,optimized,,1,0.006756151606126491,0.006354730733554961,MZI5_arm1,7,5,1,3.651,3.6446363324045428,0.06363667595457248,True,1,0.1
4,2,optimized,,1,0.006354730733554961,0.006213827398323608,MZI5_arm0,11,5,0,2.377,2.3808770777046715,-0.03877077704671656,True,1,0.1
4,2,optimized,,1,0.006213827398323608,0.006202224804910779,MZI6_arm1,8,6,1,3.525,3.5247407203255166,0.0025927967448322845,True,1,0.1
4,2,optimized,,1,0.006202224804910779,0.006202224804910779,MZI6_arm0,12,6,0,2.512,2.512,-0.0021027371452038233,False,7,0.1
4,2,optimized,,1,0.006202224804910779,0.006202224804910779,MZI7_arm0,13,7,0,3.273,3.273,0.00017395454735822676,False,7,0.1
4,2,optimized,,1,0.006202224804910779,0.006202224804910779,MZI8_arm0,14,8,0,5.095,5.095,0.00023568982156820203,False,7,0.1
4,2,optimized,,1,0.006202224804910779,0.006198068454804821,MZI7_arm1,9,7,1,3.503,3.502993583975783,0.0005132819373872056,True,4,0.0125
4,2,optimized,,1,0.006198068454804821,0.006198068454804821,MZI8_arm1,10,8,1,3.166,3.166,0.0007585139244532621,False,7,0.1
4,2,optimized,,2,0.0062273446206848005,0.005883865706350918,MZI5_arm1,7,5,1,3.645,3.639301844551232,0.056981554487677645,True,1,0.1
4,2,optimized,,2,0.005883865706350918,0.005747224354187701,MZI5_arm0,11,5,0,2.381,2.384578874405241,-0.03578874405241339,True,1,0.1
4,2,optimized,,2,0.005747224354187701,0.005743642970035758,MZI6_arm1,8,6,1,3.525,3.5248294655173047,0.003410689653903233,True,2,0.05
4,2,optimized,,2,0.005743642970035758,0.005743633601647053,MZI6_arm0,12,6,0,2.512,2.5120822323155,-0.0016446463100029702,True,2,0.05
4,2,optimized,,2,0.005743633601647053,0.005732756453014404,MZI8_arm1,10,8,1,3.166,3.1659871510753583,0.0002569784928287738,True,2,0.05
4,2,optimized,,2,0.005732756453014404,0.005728414613613062,MZI7_arm1,9,7,1,3.503,3.502997339813303,0.0004256298715352588,True,5,0.00625
4,2,optimized,,2,0.005728414613613062,0.005728414613613062,MZI8_arm0,14,8,0,5.095,5.095,0.0004506569160652773,False,7,0.1
4,2,optimized,,2,0.005728414613613062,0.005728414613613062,MZI7_arm0,13,7,0,3.273,3.273,0.0005431115700212613,False,7,0.1
4,2,optimized,,3,0.005752022800601345,0.005527038761758763,MZI5_arm1,7,5,1,3.639,3.633980714234415,0.05019285765584791,True,1,0.1
4,2,optimized,,3,0.005527038761758763,0.005450978886374136,MZI5_arm0,11,5,0,2.385,2.3881921420320653,-0.0319214203206532,True,1,0.1
4,2,optimized,,3,0.005450978886374136,0.0054288018517053985,MZI6_arm1,8,6,1,3.525,3.5246360444737292,0.0036395552627051125,True,1,0.1
4,2,optimized,,3,0.0054288018517053985,0.005427239184994876,MZI6_arm0,12,6,0,2.512,2.5120915676646733,-0.0018313532934628972,True,2,0.05
4,2,optimized,,3,0.005427239184994876,0.005415020133570012,MZI7_arm0,13,7,0,3.273,3.272980153639696,0.00019846360304050044,True,1,0.1
4,2,optimized,,3,0.005415020133570012,0.005403933962868315,MZI8_arm0,14,8,0,5.095,5.094998936167547,0.00017021319242321186,True,5,0.00625
4,2,optimized,,3,0.005403933962868315,0.005403933962868315,MZI7_arm1,9,7,1,3.503,3.503,6.78944877219268e-05,False,7,0.1
4,2,optimized,,3,0.005403933962868315,0.005403933962868315,MZI8_arm1,10,8,1,3.166,3.166,0.00014050121877179602,False,7,0.1
4,2,optimized,,4,0.0054277241429847,0.005271002664638963,MZI5_arm1,7,5,1,3.634,3.6295213931859345,0.04478606814065595,True,1,0.1
4,2,optimized,,4,0.005271002664638963,0.005176493059606909,MZI5_arm0,11,5,0,2.388,2.3907984876518023,-0.027984876518025188,True,1,0.1
4,2,optimized,,4,0.005176493059606909,0.005171524350294106,MZI6_arm1,8,6,1,3.525,3.524779326587034,0.004413468259317024,True,2,0.05
4,2,optimized,,4,0.005171524350294106,0.005155129138606423,MZI6_arm0,12,6,0,2.512,2.512027436129709,-0.0021948903767166706,True,4,0.0125
4,2,optimized,,4,0.005155129138606423,0.005153772077065036,MZI7_arm0,13,7,0,3.273,3.2729804598563623,0.0001954014363798752,True,1,0.1
4,2,optimized,,4,0.005153772077065036,0.005153772077065036,MZI8_arm0,14,8,0,5.095,5.095,7.442634220741053e-05,False,7,0.1
