global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,heater_label,heater_port,mzi_id,arm_index,voltage_before,voltage_after,gradient,accepted,line_search_trials,lr_used
6,2,optimized,,0,0.0026073047727169373,0.002598955154844614,MZI5_arm0,11,5,0,3.404,3.404866678824893,-0.008666788248928158,True,1,0.1
6,2,optimized,,0,0.002598955154844614,0.002598955154844614,MZI5_arm1,7,5,1,3.658,3.658,0.0018331227614774678,False,7,0.1
6,2,optimized,,0,0.002598955154844614,0.002598023690090944,MZI6_arm0,12,6,0,3.497,3.4968293641065813,0.0034127178683689024,True,2,0.05
6,2,optimized,,0,0.002598023690090944,0.0025961745884662364,MZI6_arm1,8,6,1,3.525,3.5252984964415095,-0.0029849644150973724,True,1,0.1
6,2,optimized,,0,0.0025961745884662364,0.0025961745884662364,MZI7_arm0,13,7,0,3.273,3.273,0.0005766131029433973,False,7,0.1
6,2,optimized,,0,0.0025961745884662364,0.0025961745884662364,MZI7_arm1,9,7,1,3.503,3.503,-0.0005102194876786354,False,7,0.1
6,2,optimized,,0,0.0025961745884662364,0.0025961745884662364,MZI8_arm0,14,8,0,5.095,5.095,-0.00023441995871904017,False,7,0.1
6,2,optimized,,0,0.0025961745884662364,0.0025961745884662364,MZI8_arm1,10,8,1,3.166,3.166,-0.00015643210373787685,False,7,0.1
6,2,optimized,,1,0.002606982260938806,0.002593187472436374,MZI5_arm0,11,5,0,3.405,3.4058558861719095,-0.008558861719096346,True,1,0.1
6,2,optimized,,1,0.002593187472436374,0.0025928611359092636,MZI6_arm0,12,6,0,3.497,3.49664759775458,0.0035240224541989323,True,1,0.1
6,2,optimized,,1,0.0025928611359092636,0.0025928611359092636,MZI6_arm1,8,6,1,3.525,3.525,-0.0031175794493995238,False,7,0.1
6,2,optimized,,1,0.0025928611359092636,0.0025924196896627712,MZI5_arm1,7,5,1,3.658,3.657982359124427,0.001411270045836788,True,4,0.0125
6,2,optimized,,1,0.0025924196896627712,0.002591732572831954,MZI7_arm0,13,7,0,3.273,3.2729942222199284,0.0004622224057215401,True,4,0.0125
6,2,optimized,,1,0.002591732572831954,0.002591141638973001,MZI7_arm1,9,7,1,3.503,3.5030466430437666,-0.00046643043766546625,True,1,0.1
6,2,optimized,,1,0.002591141638973001,0.002591013218558758,MZI8_arm0,14,8,0,5.095,5.095000006320123,-1.0112197649115661e-06,True,5,0.00625
6,2,optimized,,1,0.002591013218558758,0.002589301612259862,MZI8_arm1,10,8,1,3.166,3.1660188530737448,-0.0001885307374470682,True,1,0.1
6,3,optimized,,0,0.028291165205888733,0.02804840453008143,MZI9_arm0,76,9,0,4.896,4.894914827594206,0.010851724057944998,True,1,0.1
6,3,optimized,,0,0.02804840453008143,0.028024442433931023,MZI9_arm1,72,9,1,5.185,5.185308523346476,-0.006170466929538529,True,2,0.05
6,3,optimized,,0,0.028024442433931023,0.017885057384541183,MZI10_arm0,75,10,0,5.07,5.104052922436024,-0.3405292243602376,True,1,0.1
6,3,optimized,,0,0.017885057384541183,0.011201806751335901,MZI10_arm1,71,10,1,4.972,4.944020941611578,0.27979058388421946,True,1,0.1
6,3,optimized,,0,0.011201806751335901,0.011171233902325401,MZI11_arm0,74,11,0,4.837,4.83727435429484,-0.002743542948408877,True,1,0.1
6,3,optimized,,0,0.011171233902325401,0.011160808450633622,MZI11_arm1,70,11,1,4.689,4.688635925717115,0.003640742828847059,True,1,0.1
6,3,optimized,,0,0.011160808450633622,0.011157979639977767,MZI12_arm0,73,12,0,4.639,4.639135731212041,-0.010858496963256026,True,4,0.0125
6,3,optimized,,0,0.011157979639977767,0.011117875396219128,MZI12_arm1,69,12,1,4.729,4.727975049337598,0.010249506624025958,True,1,0.1
6,3,optimized,,1,0.011162866619952758,0.008036381064527661,MZI10_arm0,75,10,0,5.104,5.122848288691573,-0.18848288691573453,True,1,0.1
6,3,optimized,,1,0.008036381064527661,0.005731154103827735,MZI10_arm1,71,10,1,4.944,4.928101374593435,0.1589862540656488,True,1,0.1
6,3,optimized,,1,0.005731154103827735,0.005731154103827735,MZI12_arm0,73,12,0,4.639,4.639,-0.010004632670885276,False,7,0.1
6,3,optimized,,1,0.005731154103827735,0.005701764232255778,MZI9_arm0,76,9,0,4.895,4.890414213038632,0.045857869613679283,True,1,0.1
6,3,optimized,,1,0.005701764232255778,0.005695358875437151,MZI12_arm1,69,12,1,4.728,4.72693384264055,0.010661573594499906,True,1,0.1
6,3,optimized,,1,0.005695358875437151,0.0056767334243559625,MZI9_arm1,72,9,1,5.185,5.185300618874983,-0.006012377499667731,True,2,0.05
6,3,optimized,,1,0.0056767334243559625,0.00567573557331972,MZI11_arm1,70,11,1,4.689,4.6889877360503425,0.0039244638904587315,True,6,0.003125
6,3,optimized,,1,0.00567573557331972,0.0056748414629813745,MZI11_arm0,74,11,0,4.837,4.837028556597021,-0.004569055523359394,True,5,0.00625
6,3,optimized,,2,0.005712331669875766,0.004421325171180418,MZI10_arm0,75,10,0,5.123,5.134604219652077,-0.11604219652076951,True,1,0.1
6,3,optimized,,2,0.004421325171180418,0.003547282349181485,MZI10_arm1,71,10,1,4.928,4.918070105917872,0.0992989408212814,True,1,0.1
6,3,optimized,,2,0.003547282349181485,0.0035281299987000372,MZI9_arm0,76,9,0,4.89,4.888391063857487,0.016089361425125025,True,1,0.1
6,3,optimized,,2,0.0035281299987000372,0.0035202971717882793,MZI12_arm1,69,12,1,4.727,4.725951486155726,0.010485138442744013,True,1,0.1
6,3,optimized,,2,0.0035202971717882793,0.0034853355356303096,MZI12_arm0,73,12,0,4.639,4.639965699330282,-0.009656993302811495,True,1,0.1
6,3,optimized,,2,0.0034853355356303096,0.0034853355356303096,MZI9_arm1,72,9,1,5.185,5.185,-0.006869731075848177,False,7,0.1
6,3,optimized,,2,0.0034853355356303096,0.0034853355356303096,MZI11_arm0,74,11,0,4.837,4.837,-0.004364301731193472,False,7,0.1
6,3,optimized,,2,0.0034853355356303096,0.0034853355356303096,MZI11_arm1,70,11,1,4.689,4.689,0.0047001481632495705,False,7,0.1
6,3,optimized,,3,0.0034969805714388127,0.002932224412667472,MZI10_arm0,75,10,0,5.135,5.142660290814751,-0.07660290814751232,True,1,0.1
6,3,optimized,,3,0.002932224412667472,0.0025676733164677916,MZI10_arm1,71,10,1,4.918,4.911500973299711,0.06499026700288796,True,1,0.1
6,3,optimized,,3,0.0025676733164677916,0.002558431538413702,MZI9_arm0,76,9,0,4.888,4.886924161641307,0.010758383586928544,True,1,0.1
6,3,optimized,,3,0.002558431538413702,0.002534209770234694,MZI12_arm1,69,12,1,4.726,4.725103534691625,0.00896465308374771,True,1,0.1
6,3,optimized,,3,0.002534209770234694,0.002534209770234694,MZI12_arm0,73,12,0,4.64,4.64,-0.009202920589919526,False,7,0.1
6,3,optimized,,3,0.002534209770234694,0.002534209770234694,MZI9_arm1,72,9,1,5.185,5.185,-0.007614148498952993,False,7,0.1
6,3,optimized,,3,0.002534209770234694,0.0025325001033612558,MZI11_arm1,70,11,1,4.689,4.6885695643328456,0.0043043566715449235,True,1,0.1
6,3,optimized,,3,0.0025325001033612558,0.002531454756531975,MZI11_arm0,74,11,0,4.837,4.837219339078921,-0.0043867815784182414,True,2,0.05
6,3,optimized,,4,0.002532641128597593,0.0022935343368376696,MZI10_arm0,75,10,0,5.143,5.148476315631742,-0.05476315631742255,True,1,0.1
6,3,optimized,,4,0.0022935343368376696,0.0020799472766057222,MZI10_arm1,71,10,1,4.912,4.907257498413151,0.047425015868484015,True,1,0.1
6,3,optimized,,4,0.0020799472766057222,0.002065130304092271,MZI9_arm0,76,9,0,4.887,4.885900548794052,0.010994512059471285,True,1,0.1
6,3,optimized,,4,0.002065130304092271,0.0020625410754649136,MZI12_arm0,73,12,0,4.64,4.640920948447469,-0.009209484474697853,True,1,0.1
6,3,optimized,,4,0.0020625410754649136,0.002058094648351397,MZI12_arm1,69,12,1,4.725,4.724107912787898,0.008920872121015276,True,1,0.1
6,3,optimized,,4,0.002058094648351397,0.0020395857161102223,MZI9_arm1,72,9,1,5.185,5.1857638048817485,-0.007638048817487034,True,1,0.1
6,3,optimized,,4,0.0020395857161102223,0.0020395857161102223,MZI11_arm0,74,11,0,4.837,4.837,-0.00444960974492241,False,7,0.1
6,3,optimized,,4,0.0020395857161102223,0.0020392182915771684,MZI11_arm1,70,11,1,4.689,4.688777377255076,0.004452454898482946,True,2,0.05
6,3,optimized,,5,0.002047784340469175,0.0018833143997756098,MZI10_arm0,75,10,0,5.148,5.15198772136587,-0.03987721365870945,True,1,0.1
6,3,optimized,,5,0.0018833143997756098,0.0017870327722308078,MZI10_arm1,71,10,1,4.907,4.903575090284305,0.03424909715694513,True,1,0.1
6,3,optimized,,5,0.0017870327722308078,0.0017818361382769177,MZI9_arm0,76,9,0,4.886,4.885027306007111,0.009726939928886125,True,1,0.1
6,3,optimized,,5,0.0017818361382769177,0.0017788491089691136,MZI12_arm0,73,12,0,4.641,4.641865347738601,-0.008653477386008905,True,1,0.1
6,3,optimized,,5,0.0017788491089691136,0.0017662526137774742,MZI12_arm1,69,12,1,4.724,4.7231522889175315,0.008477110824687046,True,1,0.1
6,3,optimized,,5,0.0017662526137774742,0.0017560597001774374,MZI9_arm1,72,9,1,5.186,5.186634779689398,-0.00634779689397908,True,1,0.1
6,3,optimized,,5,0.0017560597001774374,0.0017503585998480226,MZI11_arm1,70,11,1,4.689,4.688568982041144,0.004310179588563862,True,1,0.1
6,3,optimized,,5,0.0017503585998480226,0.001749328410038015,MZI11_arm0,74,11,0,4.837,4.83705725859925,-0.004580687940001067,True,4,0.0125
6,3,optimized,,6,0.002957638758913658,0.0025356958602976583,MZI10_arm0,75,10,0,5.152,5.158591988590061,-0.06591988590060767,True,1,0.1
6,3,optimized,,6,0.0025356958602976583,0.0022493182632921708,MZI10_arm1,71,10,1,4.904,4.898316177096679,0.056838229033212125,True,1,0.1
6,3,optimized,,6,0.0022493182632921708,0.0022488588077329125,MZI9_arm0,76,9,0,4.885,4.884181314473644,0.008186855263554425,True,1,0.1
6,3,optimized,,6,0.0022488588077329125,0.0022365049206210853,MZI12_arm0,73,12,0,4.642,4.642849865853576,-0.008498658535758138,True,1,0.1
6,3,optimized,,6,0.0022365049206210853,0.002229280186691233,MZI12_arm1,69,12,1,4.723,4.722231338700241,0.007686612997591229,True,1,0.1
6,3,optimized,,6,0.002229280186691233,0.0022220649727175677,MZI9_arm1,72,9,1,5.187,5.187342538984184,-0.003425389841835773,True,1,0.1
6,3,optimized,,6,0.0022220649727175677,0.0022179583124193585,MZI11_arm0,74,11,0,4.837,4.8374426119123815,-0.004426119123820306,True,1,0.1
6,3,optimized,,6,0.0022179583124193585,0.0022177628151698195,MZI11_arm1,70,11,1,4.689,4.688584121745561,0.0041587825443919445,True,1,0.1
6,4,optimized,,0,0.008905832239145298,0.008594972077722553,MZI13_arm0,19,13,0,4.583,4.588408985903938,-0.05408985903938332,True,1,0.1
6,4,optimized,,0,0.008594972077722553,0.008507387933352857,MZI13_arm1,15,13,1,3.201,3.1981536802665045,0.02846319733495726,True,1,0.1
6,4,optimized,,0,0.008507387933352857,0.008507387933352857,MZI14_arm0,20,14,0,2.468,2.468,0.0020132878282967566,False,7,0.1
6,4,optimized,,0,0.008507387933352857,0.008501809875517519,MZI14_arm1,16,14,1,4.858,4.8580086138159855,-8.613815985743764e-05,True,1,0.1
6,4,optimized,,0,0.008501809875517519,0.008484497247907168,MZI15_arm0,21,15,0,3.678,3.6780797404898404,-0.0015948097968072879,True,2,0.05
6,4,optimized,,0,0.008484497247907168,0.008476561215437751,MZI15_arm1,17,15,1,3.732,3.732001281597102,-0.0004101110725939976,True,6,0.003125
6,4,optimized,,0,0.008476561215437751,0.008476561215437751,MZI16_arm0,22,16,0,5.086,5.086,0.00021295050760292424,False,7,0.1
6,4,optimized,,0,0.008476561215437751,0.008476561215437751,MZI16_arm1,18,16,1,3.21,3.21,0.0001561315813167033,False,7,0.1
6,4,optimized,,1,0.008491772335959031,0.008268866952483075,MZI13_arm0,19,13,0,4.588,4.592706070933164,-0.04706070933164326,True,1,0.1
6,4,optimized,,1,0.008268866952483075,0.008245624045782213,MZI13_arm1,15,13,1,3.198,3.1955283205778375,0.024716794221625267,True,1,0.1
6,4,optimized,,1,0.008245624045782213,0.008233956556945091,MZI14_arm0,20,14,0,2.468,2.4677266662005506,0.0027333379944928403,True,1,0.1
